Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.8689502,-0.105892168,106.555676,-0.0349220171,0.82181066,-0.0340347167,0.749672118,0.666499571,1.43207979,0,0,2.11409552,16.2904366,-27.910955,63.5198509,-9.60492705,-3.20664255,-22.9250023,0.100000173,-20.688088,39.6528272,66.3348109,22.1447078,-3.78375618,18.596539,-6.86930011,2.74379392,6.18422147,8.05733767,-1.61948011,-1.9302375,-6.03179811,-1.66349962,-9.31696628,6.97530209,-1.65333672,0.751360242
1,-1.8677514,-0.098253903,106.562793,-0.0588131543,0.82112175,-0.0401357313,0.741775406,0.700316264,1.42597776,0,0,2.12509426,16.2697667,-27.8878007,63.5224941,-9.59535027,-3.19216383,-22.9385056,0.107557524,-20.7084779,39.6510103,66.331348,22.0530467,-3.7478042,18.6013013,-6.85383955,2.76664262,6.18738256,8.03333724,-1.61072274,-1.90102585,-6.04958649,-1.64273862,-9.3196531,7.01283953,-1.63228864,0.771536354
2,-1.8695971,-0.100060098,106.560802,-0.0597517926,0.822930653,-0.046109333,0.758290537,0.685539203,1.43098621,0,0,2.11104371,16.2915533,-27.918861,63.5224395,-9.63925217,-3.2170509,-22.9320494,0.093388883,-20.6860236,39.675418,66.3541198,22.0731804,-3.76311321,18.6098425,-6.85665914,2.76948077,6.19594463,8.03260385,-1.62420287,-1.89293741,-6.04449501,-1.63692858,-9.30461473,6.99314084,-1.63288906,0.761219727
3,-1.87037028,-0.0951253867,106.555367,-0.0562948805,0.822280216,-0.0406637862,0.727025025,0.720188967,1.43412489,0,0,2.14153943,16.1907107,-27.8020084,63.5359086,-9.53856579,-3.23351657,-22.8681171,0.0770632368,-20.7287208,39.7000442,66.3490518,22.0211019,-3.69889279,18.607457,-6.86102107,2.76326295,6.19214833,8.03797323,-1.63347026,-1.89889739,-6.04543629,-1.64175635,-9.32403638,6.98979831,-1.64719073,0.758060018
4,-1.87013317,-0.0929017086,106.552064,-0.0607938955,0.82144035,-0.0342183653,0.731716191,0.719885397,1.43374817,0,0,2.1377077,16.188899,-27.7794295,63.5515976,-9.49143492,-3.23588536,-22.9059393,0.0696200382,-20.7338896,39.6803835,66.3574051,21.9031411,-3.64066542,18.6042844,-6.85754152,2.76590495,6.19178419,8.02264885,-1.62159512,-1.89823977,-6.05030835,-1.63781896,-9.3363606,6.99967775,-1.64317724,0.735259512
5,-1.87193006,-0.101368374,106.553614,-0.0324096216,0.821434742,-0.0332928716,0.746347044,0.686844517,1.43922075,0,0,2.13977724,16.1787698,-27.754262,63.5562899,-9.46688039,-3.22581702,-22.8842158,0.0599903452,-20.7430557,39.716044,66.3749382,22.0631349,-3.73530922,18.7026733,-6.86359648,2.73517828,6.18815181,8.03590197,-1.60619785,-1.90879754,-6.0467114,-1.66672272,-9.32799959,6.99365523,-1.66844819,0.750815748
6,-1.87231284,-0.0920851482,106.561399,-0.0426622268,0.819901075,-0.0380725144,0.735673539,0.713708398,1.43994945,0,0,2.12940454,16.1794289,-27.7574636,63.5624234,-9.44377045,-3.22549344,-22.8821924,0.0662301032,-20.7504067,39.7224541,66.3740298,22.0894294,-3.76238751,18.7389006,-6.85655882,2.74236044,6.1955344,8.03254494,-1.60184937,-1.88657936,-6.05568115,-1.66094235,-9.32256703,7.0164877,-1.64524231,0.811000654
7,-1.87646933,-0.0922689564,106.561947,-0.0521682859,0.818613878,-0.0407700933,0.75087151,0.712358635,1.44837395,0,0,2.09834809,16.2304846,-27.8877597,63.5476088,-9.59631675,-3.24672786,-22.8378354,0.0734033226,-20.7474202,39.6844099,66.3535666,22.0489503,-3.74786097,18.7435264,-6.85015765,2.75509639,6.19127833,8.02161151,-1.60872043,-1.90500187,-6.06234357,-1.64871066,-9.32396722,7.03035341,-1.64963785,0.7974145
8,-1.87823288,-0.0879656523,106.566834,-0.0761702927,0.817684082,-0.0418954184,0.737283436,0.742578167,1.44550164,0,0,2.10661604,16.1931935,-27.8014944,63.5764185,-9.48643949,-3.22673334,-22.8628032,0.0625090108,-20.7696917,39.7314016,66.3440726,22.0527513,-3.73680418,18.7634859,-6.8482213,2.78045561,6.19914842,8.01511173,-1.61153372,-1.9124948,-6.06543253,-1.6220726,-9.32700666,7.03152949,-1.62038746,0.792747027
9,-1.88120026,-0.0908241665,106.560731,-0.0703866378,0.817306105,-0.0400965617,0.744287261,0.736532542,1.45391441,0,0,2.08702684,16.1982632,-27.7905883,63.5978789,-9.431973,-3.21389685,-22.8933649,0.0420844007,-20.7695722,39.7543716,66.3582453,22.042687,-3.7304013,18.7701436,-6.85528926,2.77606422,6.19774055,8.02222537,-1.61527603,-1.90933435,-6.05795261,-1.62583923,-9.32043943,7.01291722,-1.6285712,0.768438223
