Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-2.06404552,-0.203357753,106.463599,0.282945446,0.302817897,-0.0234017935,1.16525759,0.593042701,3.16688935,0,0,-2.08996702,13.4968721,-20.6636138,74.271477,-7.7479079,-5.61547631,-18.480016,-4.47412694,-17.4385231,39.7131343,72.1950654,20.2549055,-3.16799392,19.1338546,-5.86676409,0.666849031,6.81936887,9.20706341,-3.55143647,-0.166517691,-6.15790902,-0.694519622,-10.6044723,9.86955078,-4.3030307,-0.807069613
1,-2.06371676,-0.205623033,106.451702,0.277356763,0.303901747,-0.0276117677,1.15924404,0.608879722,3.16598542,0,0,-2.09849302,13.5186468,-20.8002619,74.2324903,-7.92433766,-5.62590089,-18.4989902,-4.49066155,-17.4395066,39.6698343,72.1871833,20.1942893,-3.15885492,19.1588685,-5.85882998,0.675056037,6.81426458,9.19187307,-3.57049014,-0.172718088,-6.16296549,-0.686076387,-10.6071694,9.88010854,-4.32966801,-0.804887634
2,-2.06404869,-0.213133218,106.451619,0.286299033,0.303591799,-0.0328350719,1.14810507,0.587373804,3.1701926,0,0,-2.10101272,13.5268183,-20.8062093,74.2079426,-7.9212914,-5.60727453,-18.4661609,-4.51828241,-17.4263876,39.6910933,72.1775186,20.167754,-3.13835923,19.1376675,-5.86078512,0.668699479,6.81049261,9.19698461,-3.56866434,-0.145782931,-6.16419749,-0.693145313,-10.5997731,9.88090512,-4.33767812,-0.794519354
3,-2.06382778,-0.217415416,106.461,0.288634813,0.302378219,-0.0385494957,1.15626842,0.584924007,3.16956743,0,0,-2.10492791,13.5272426,-20.803216,74.1984487,-7.95807624,-5.64795984,-18.5605063,-4.54705031,-17.4292579,39.7405439,72.1864798,20.1344124,-3.12108931,19.1438147,-5.86525035,0.670383867,6.81501719,9.21290152,-3.56414767,-0.13193651,-6.16303764,-0.691281845,-10.5963282,9.87726036,-4.31742234,-0.79878406
4,-2.06447151,-0.219736458,106.46503,0.290257773,0.301908005,-0.0469542418,1.15655988,0.582554038,3.17891305,0,0,-2.12419118,13.5185042,-20.8281633,74.1839823,-7.973702,-5.60351622,-18.5206197,-4.58483022,-17.4314641,39.7696336,72.1884606,20.1458188,-3.08361355,19.1690386,-5.86263268,0.673454411,6.8239468,9.21186845,-3.55565561,-0.14895534,-6.16875664,-0.692072866,-10.5838033,9.88820488,-4.321453,-0.784090829
5,-2.06197742,-0.220144726,106.464815,0.28016821,0.301760969,-0.055363909,1.17374506,0.611301931,3.17607702,0,0,-2.11853706,13.4363678,-20.6960947,74.2007846,-7.88458084,-5.63773974,-18.507808,-4.61641985,-17.4375993,39.6811793,72.228745,20.0423722,-3.06741021,19.2611266,-5.85119639,0.685897361,6.82294277,9.19272343,-3.56223052,-0.148254098,-6.17425494,-0.680709032,-10.5720596,9.89969155,-4.31410031,-0.781991933
6,-2.06035357,-0.227970933,106.460488,0.280443626,0.303601781,-0.0633610168,1.16958676,0.595215021,3.1680635,0,0,-2.10877779,13.4510655,-20.7677349,74.1727467,-8.00987127,-5.61495722,-18.4628158,-4.61638185,-17.4262185,39.7133597,72.1809064,20.023275,-3.04347936,19.076329,-5.8572808,0.691157888,6.83531907,9.20264769,-3.56048968,-0.155245691,-6.16779657,-0.674496122,-10.56588,9.88313346,-4.3156657,-0.792560637
7,-2.06065737,-0.234792591,106.46069,0.286145084,0.303158896,-0.074432384,1.17887848,0.590205557,3.16881333,0,0,-2.10693001,13.4287811,-20.7340023,74.1657867,-7.9884535,-5.61421614,-18.4550858,-4.64330219,-17.4235786,39.6629222,72.2113622,19.8035461,-2.98429919,19.1956456,-5.85885559,0.689982615,6.84577908,9.20860533,-3.55807371,-0.147701507,-6.16917029,-0.675199364,-10.5580765,9.88114929,-4.31286746,-0.836786966
8,-2.06165835,-0.240296242,106.463039,0.293045293,0.3048276,-0.0785755773,1.18170544,0.589555195,3.16917469,0,0,-2.14100817,13.3969303,-20.7031589,74.2174093,-7.98713186,-5.65147738,-18.4766077,-4.66808126,-17.4349936,39.7223414,72.2000582,19.7888424,-2.98085528,19.1075191,-5.86254688,0.686684594,6.8364738,9.21168489,-3.54679429,-0.130578356,-6.16933464,-0.677892326,-10.558109,9.87226407,-4.30713821,-0.867910857
9,-2.06082352,-0.246316241,106.465709,0.298696256,0.304964559,-0.0794150087,1.16057923,0.572430043,3.17001737,0,0,-2.1363884,13.4053715,-20.709096,74.1854508,-8.01461484,-5.57962337,-18.3610614,-4.67388265,-17.3650046,39.8140708,72.211492,20.3706465,-3.23731095,19.1285407,-5.85833991,0.681666433,6.83726098,9.19855726,-3.54010903,-0.0827019782,-6.17911676,-0.684403311,-10.5529915,9.88812548,-4.30524027,-0.842080629
10,-2.06208639,-0.254437723,106.464088,0.303028474,0.302971088,-0.0847241661,1.16841399,0.58053449,3.1795331,0,0,-2.13237972,13.3867797,-20.6735244,74.1446609,-7.97504499,-5.56735208,-18.3497198,-4.68966765,-17.3621138,39.8454146,72.2113281,20.4825113,-3.30929261,19.1333116,-5.87117981,0.681697489,6.84363056,9.22760008,-3.55044567,-0.0880000372,-6.17719448,-0.686385026,-10.5483888,9.88551549,-4.30658539,-0.833382437
11,-2.06199922,-0.260672858,106.46646,0.312708674,0.306565514,-0.0950689932,1.16560423,0.563854154,3.17497331,0,0,-2.12732538,13.4126713,-20.7511153,74.1045745,-8.10256035,-5.5410772,-18.3440627,-4.74150067,-17.4177474,39.8487819,72.2143743,19.7821147,-3.04202645,18.9250352,-5.85606588,0.673669242,6.83419764,9.19227947,-3.53169253,-0.0513281946,-6.18745855,-0.694660814,-10.5535934,9.89425131,-4.3153148,-0.84047895
12,-2.06344333,-0.264174491,106.467998,0.302670945,0.307250721,-0.104650312,1.18521829,0.570346729,3.17841466,0,0,-2.12605283,13.3924292,-20.7006607,74.0884894,-8.05756904,-5.55661886,-18.3152325,-4.71655597,-17.3791107,39.8629921,72.1575813,20.548339,-3.3012761,19.2367651,-5.85953348,0.690928756,6.84143849,9.19843774,-3.53369634,-0.0759026583,-6.18307784,-0.676662039,-10.5434266,9.88262718,-4.31067368,-0.866327321
13,-2.06474941,-0.265368447,106.47018,0.294602311,0.307198597,-0.106773419,1.18056277,0.588430615,3.17960524,0,0,-2.13466485,13.3865774,-20.7436841,74.0726024,-8.11845591,-5.54047443,-18.3154408,-4.72949491,-17.4049288,39.9074498,72.0953856,20.6923859,-3.35042892,18.9549156,-5.85968716,0.703927674,6.83153472,9.19750712,-3.53633493,-0.102094639,-6.18693305,-0.664423033,-10.545585,9.88901255,-4.30528509,-0.901773548
14,-2.06417292,-0.271515246,106.47161,0.309390615,0.307622685,-0.105681698,1.17010628,0.567484186,3.17779375,0,0,-2.13420851,13.3885675,-20.7518257,74.0546663,-8.17621199,-5.55152013,-18.3321116,-4.74846405,-17.4041997,39.8953159,72.0869503,20.6242736,-3.32262001,18.9551342,-5.85017484,0.691400626,6.8256249,9.17526888,-3.51786545,-0.094470841,-6.19737897,-0.678957729,-10.5502662,9.90649783,-4.31517691,-0.899888415
15,-2.06462517,-0.275640492,106.470966,0.308001357,0.30707351,-0.110015626,1.1709068,0.574506581,3.17332446,0,0,-2.1109086,13.3767052,-20.7181836,74.0131251,-8.17770865,-5.5367524,-18.302974,-4.73620386,-17.4321693,39.9276159,72.0209297,20.617802,-3.30445555,18.9067337,-5.85843937,0.693248086,6.83991621,9.19461112,-3.53267373,-0.0876322409,-6.19118442,-0.675261636,-10.5389136,9.89620218,-4.3101119,-0.863058648
16,-2.06497721,-0.281631155,106.470847,0.30388307,0.307332302,-0.107452551,1.17182727,0.569304912,3.18046948,0,0,-2.1288244,13.4035931,-20.7830823,73.9986383,-8.26839051,-5.55598793,-18.3280323,-4.75137798,-17.4278475,39.8559604,72.0119822,20.5360275,-3.34715299,18.921422,-5.85604795,0.702412652,6.83711584,9.18854335,-3.53538169,-0.0950166425,-6.19129584,-0.665562661,-10.5409003,9.89702948,-4.3090528,-0.845743798
