Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.50988773,-0.325124222,106.399024,0.619410599,2.14709006,-0.181745759,-0.388459458,-0.0457111211,1.79133877,0,0,0.753941894,15.7525951,-29.9832293,63.6355133,-6.89829768,-4.03461921,-17.3210029,-1.16402122,-20.9314733,43.7791493,64.8261382,24.8701172,-2.68034744,18.8792303,-8.65665006,0.371216593,2.46586115,8.86606792,-2.29523598,-0.53945944,-8.80130066,-1.33431043,-10.2128762,10.9949115,-4.75348296,-0.604834222
1,-1.51419556,-0.338273752,106.403685,0.638432912,2.13974563,-0.191474271,-0.337489865,-0.127377559,1.80552614,0,0,0.717012395,15.8605172,-30.110708,63.61686,-7.01827892,-4.04717609,-17.3400557,-1.14599144,-20.8689497,43.7068928,64.8157563,24.8723354,-2.67636011,18.8783543,-8.65701206,0.362367922,2.44264768,8.88653117,-2.28650508,-0.574205573,-8.80670248,-1.34740038,-10.2084511,11.0144228,-4.75983589,-0.584408114
2,-1.5138682,-0.335311517,106.408799,0.636819449,2.13958186,-0.202773562,-0.375358595,-0.0898249317,1.79954567,0,0,0.734965974,15.7910319,-30.0106798,63.6524385,-6.94100942,-4.20693165,-17.3820408,-1.15060107,-20.9205826,43.7431269,64.7937904,24.8643389,-2.6604923,18.9035662,-8.65677215,0.364066532,2.46046295,8.88759497,-2.28042429,-0.55443527,-8.80590591,-1.34474024,-10.1946524,11.0088912,-4.7506352,-0.600833759
3,-1.51679497,-0.34388986,106.413567,0.638429073,2.13633898,-0.213587259,-0.35667488,-0.119983412,1.80062506,0,0,0.692985764,15.8946271,-30.207963,63.6345024,-7.1455834,-4.19926519,-17.3357766,-1.1339908,-20.9040347,43.6883488,64.7697687,24.8146903,-2.62695628,18.9335764,-8.66187088,0.368873571,2.47678838,8.90548495,-2.27547923,-0.576309217,-8.80390893,-1.34053156,-10.1771586,11.0075593,-4.74195872,-0.643954877
4,-1.51788034,-0.343014416,106.407666,0.62997675,2.13371442,-0.229161187,-0.3687498,-0.092291944,1.79626611,0,0,0.701543137,15.8816003,-30.1952008,63.6207123,-7.20373307,-4.19974714,-17.37247,-1.13428813,-20.9308432,43.6919176,64.7589838,24.7721843,-2.61227692,18.9124301,-8.65349451,0.380108218,2.49046883,8.90082334,-2.29164373,-0.577971728,-8.80914684,-1.33127815,-10.1777981,11.0196249,-4.74614648,-0.62935999
5,-1.51678678,-0.348679838,106.404436,0.634151027,2.13377533,-0.245274354,-0.362974795,-0.0981599169,1.79307385,0,0,0.671111176,15.9257318,-30.3173622,63.6252475,-7.31915131,-4.24718323,-17.3784465,-1.1409085,-20.9336453,43.7097853,64.7589428,24.7629857,-2.59115841,18.898628,-8.6528815,0.381693996,2.49472638,8.90562411,-2.30318162,-0.572510565,-8.81043518,-1.3293007,-10.179223,11.014515,-4.75046914,-0.655826226
6,-1.52018983,-0.348363072,106.40887,0.634973115,2.12690177,-0.253500771,-0.407074419,-0.0644656266,1.7982855,0,0,0.680118541,15.8790594,-30.245191,63.6336691,-7.26959573,-4.17062236,-17.4300793,-1.15978992,-20.9584235,43.690432,64.7803008,24.6395249,-2.54045727,18.8805229,-8.65725624,0.383801216,2.49089849,8.92856074,-2.30672948,-0.588811559,-8.81838125,-1.33153705,-10.1676501,11.0375831,-4.74903565,-0.64615788
7,-1.52227757,-0.351945148,106.409907,0.620449047,2.12423767,-0.267278113,-0.388706546,-0.0589393699,1.80525891,0,0,0.682558306,15.885251,-30.2174672,63.6215182,-7.20145776,-4.17005845,-17.4544545,-1.16190856,-20.9566169,43.6939052,64.7715718,24.6344672,-2.51804742,18.8455865,-8.65400507,0.404776007,2.50641646,8.9247384,-2.31888444,-0.563492794,-8.82913538,-1.31107349,-10.1577438,11.0578295,-4.75696337,-0.678464461
8,-1.52156428,-0.358770532,106.413293,0.624355076,2.11999407,-0.273597013,-0.390607313,-0.0697744845,1.80927207,0,0,0.701849855,15.8428884,-30.1214143,63.6447272,-7.06751135,-4.2538892,-17.4538825,-1.16414022,-20.9405113,43.6555673,64.7846721,24.5820796,-2.49786379,18.8261751,-8.64775544,0.406726186,2.50675093,8.92356616,-2.30366102,-0.55417124,-8.8378951,-1.31406415,-10.1511134,11.0858376,-4.75574973,-0.662996591
9,-1.52404672,-0.368110719,106.406939,0.632136232,2.11652089,-0.280448338,-0.391991253,-0.084508083,1.81719872,0,0,0.659217842,15.8748913,-30.2190723,63.6725739,-7.17158166,-4.25787205,-17.4389175,-1.18386452,-20.9367735,43.661735,64.7913725,24.6272852,-2.47667078,18.7988987,-8.64996842,0.403770075,2.50111026,8.93614652,-2.31779588,-0.581242748,-8.83796255,-1.31716484,-10.1611179,11.0872164,-4.77414428,-0.642524753
