Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.73122697,-0.290788175,106.215036,0.533060285,0.736183363,-0.0528987307,0.798381026,-0.35870446,1.61597943,0,0,-1.20188075,14.5762691,-26.3050153,66.4147378,-3.86920014,-3.14892019,-20.4404168,-5.91379464,-17.9504936,42.1428956,68.4193573,11.9839084,-3.68218188,20.599328,-7.68194279,1.57288947,2.18056393,11.604348,-4.54394087,-1.67601797,-8.99259462,-2.5710546,-4.901027,14.1147174,-5.88226521,1.1119643
1,-1.72269959,-0.297129061,106.212449,0.535554299,0.738347921,-0.0450302656,0.815401377,-0.372718727,1.61975855,0,0,-1.17195043,14.5212059,-26.1578794,66.428364,-3.68922722,-3.17564032,-20.4068243,-5.89433757,-17.9401749,42.0894801,68.4125339,11.9492179,-3.68917983,20.6021267,-7.6817191,1.56999539,2.17761158,11.6073669,-4.54539783,-1.67103299,-8.9899445,-2.57280825,-4.91034722,14.1189342,-5.88892165,1.12331127
2,-1.71402544,-0.293804472,106.203353,0.529158358,0.741660696,-0.0370433559,0.79980512,-0.362485743,1.60799174,0,0,-1.2058699,14.6467584,-26.4618467,66.3735107,-4.01457132,-3.11167837,-20.3692275,-5.87359514,-17.9578104,42.084675,68.402316,11.9133944,-3.69221841,20.6076318,-7.67692687,1.57638183,2.16935367,11.6032773,-4.55549797,-1.68686164,-8.98545792,-2.56889647,-4.91711892,14.1210686,-5.88066951,1.16172361
3,-1.7070733,-0.288642873,106.202376,0.535008888,0.743772336,-0.0490103422,0.807866184,-0.343821264,1.60293505,0,0,-1.16186448,14.5599928,-26.2975585,66.3941242,-3.91488301,-3.15519756,-20.4160228,-5.84552775,-17.9742575,42.0082418,68.3985525,11.8081446,-3.70646917,20.6236623,-7.67462509,1.56914247,2.17722056,11.6095278,-4.55583948,-1.67651027,-8.98648501,-2.57682376,-4.90151151,14.1238366,-5.883405,1.17685024
4,-1.69975907,-0.292496826,106.205285,0.535869031,0.745312288,-0.0533803173,0.825892867,-0.375934786,1.61514497,0,0,-1.21771185,14.6336291,-26.4362386,66.4116164,-4.06278392,-3.13285623,-20.4368891,-5.83243556,-17.9441432,41.9995094,68.3756373,11.845148,-3.69906952,20.6015683,-7.67404367,1.57171564,2.18719156,11.6160353,-4.56403913,-1.68498921,-8.9857687,-2.57470149,-4.89609176,14.1256133,-5.88772637,1.15800265
5,-1.69355292,-0.296035479,106.206369,0.538587819,0.745983806,-0.0420512591,0.834148112,-0.374264484,1.61007313,0,0,-1.18165666,14.614689,-26.4090101,66.3848898,-4.00109878,-3.12405873,-20.3989217,-5.80217782,-17.9433458,41.9318666,68.3789431,11.7878154,-3.70696906,20.6109325,-7.6767083,1.56730345,2.17968156,11.6255924,-4.55971732,-1.68856972,-8.97992035,-2.57832726,-4.91207824,14.1249576,-5.87862728,1.19895262
6,-1.68707594,-0.298610842,106.195641,0.534843067,0.748437936,-0.0443656907,0.837079864,-0.376672927,1.61604944,0,0,-1.19780344,14.6750644,-26.5043766,66.3612779,-4.13761932,-3.12946824,-20.3958584,-5.80320022,-17.9442491,41.9246915,68.3820781,11.7649351,-3.72117799,20.6376693,-7.67333248,1.57125396,2.17798682,11.6261166,-4.58315554,-1.6775252,-8.97780384,-2.57426628,-4.91443936,14.1256961,-5.88931012,1.22589708
7,-1.68106742,-0.298658712,106.186962,0.531316353,0.75070776,-0.0484433246,0.843067111,-0.36900748,1.61953806,0,0,-1.20174735,14.6947763,-26.5597694,66.3425905,-4.20336714,-3.11629707,-20.4002656,-5.79974713,-17.9528432,41.9298893,68.3854932,11.7442755,-3.72574994,20.6231005,-7.67005655,1.57397633,2.18005999,11.6270122,-4.59018509,-1.68342253,-8.97676309,-2.57046592,-4.90515713,14.1281686,-5.88987532,1.2557401
8,-1.67466756,-0.296750129,106.187451,0.532352214,0.752768034,-0.0570804107,0.825454348,-0.372987426,1.62902061,0,0,-1.21519129,14.7349822,-26.619759,66.3318397,-4.29370835,-3.12717223,-20.3593015,-5.80161604,-17.9413036,41.9429896,68.3954448,11.7309532,-3.74534661,20.6287303,-7.66840535,1.57403406,2.1731884,11.6300457,-4.58466288,-1.6700931,-8.97735305,-2.57252608,-4.89248884,14.128709,-5.88532855,1.24733779
9,-1.67018585,-0.296416553,106.188142,0.533005858,0.753881619,-0.0590466734,0.828150245,-0.373334992,1.63838853,0,0,-1.22484064,14.7580341,-26.6884844,66.3053523,-4.37238018,-3.09000554,-20.3555808,-5.80212489,-17.9428779,41.9661576,68.3963942,11.7632822,-3.73223777,20.6208192,-7.66815349,1.57285223,2.17343834,11.6330612,-4.59134366,-1.6651807,-8.97611849,-2.57407226,-4.89300025,14.1300964,-5.8951145,1.24854727
10,-1.6635919,-0.30217329,106.187713,0.535604112,0.754879673,-0.0637329594,0.849888016,-0.384842473,1.64169755,0,0,-1.19334952,14.7218188,-26.5789981,66.3119297,-4.26609774,-3.1371791,-20.3471899,-5.78814349,-17.9319121,41.930183,68.3944681,11.72309,-3.73133106,20.6227095,-7.66458557,1.57039773,2.1880193,11.6354484,-4.59436773,-1.67009374,-8.9742419,-2.57432412,-4.89185149,14.1306924,-5.90307124,1.2586933
11,-1.65841244,-0.303919613,106.183457,0.531993464,0.756686016,-0.0588970828,0.872501064,-0.380625392,1.64367478,0,0,-1.20442457,14.7460386,-26.6667063,66.2962408,-4.31009056,-3.11310375,-20.3287876,-5.77760537,-17.935824,41.9174617,68.3989282,11.7202179,-3.75019391,20.6307384,-7.66240076,1.57391432,2.18507463,11.6352341,-4.60369648,-1.65938379,-8.97286049,-2.5718866,-4.89832865,14.1334185,-5.9114711,1.26988328
12,-1.65306479,-0.301995268,106.177235,0.529995934,0.759200859,-0.0614689678,0.86533721,-0.370311512,1.64162327,0,0,-1.2049268,14.7544415,-26.6855098,66.2957763,-4.33826423,-3.08929926,-20.3193227,-5.77577786,-17.9389284,41.950134,68.4060248,11.713678,-3.73038252,20.5987526,-7.65990177,1.57557576,2.18320871,11.6339722,-4.61318532,-1.65947354,-8.97061165,-2.57103133,-4.89639485,14.1327576,-5.92043956,1.27877833
13,-1.64852887,-0.297747483,106.18037,0.534046616,0.759048397,-0.0528852292,0.824917004,-0.350768794,1.65129044,0,0,-1.16730654,14.6424468,-26.4649084,66.3248525,-4.12604044,-3.09522124,-20.3731019,-5.79302793,-17.9626172,42.0083033,68.4149587,11.7147955,-3.71645022,20.6507081,-7.66499965,1.56810002,2.17904763,11.643724,-4.60992989,-1.65404866,-8.96750392,-2.58032338,-4.89875383,14.1337463,-5.91985003,1.27377126
14,-1.64282378,-0.302470429,106.18813,0.535294898,0.759376235,-0.038550732,0.857947052,-0.389123241,1.66313516,0,0,-1.19685864,14.6719806,-26.5112341,66.3508072,-4.13285099,-3.10708336,-20.3455831,-5.7885977,-17.921455,41.982813,68.4279087,11.7420249,-3.71218391,20.6234847,-7.66703675,1.56817045,2.17042622,11.6476983,-4.6010293,-1.66774693,-8.96464805,-2.58097011,-4.91254654,14.1394282,-5.91590133,1.26359844
15,-1.63487568,-0.29982035,106.188703,0.536379862,0.760526448,-0.0411282204,0.830430034,-0.371525605,1.67067537,0,0,-1.17898574,14.6092402,-26.3932375,66.3639348,-4.05313457,-3.10346784,-20.325574,-5.81289012,-17.9416382,42.0085287,68.4428668,11.7151703,-3.70745955,20.6787717,-7.66570999,1.567225,2.1812715,11.6518477,-4.61020907,-1.67787204,-8.96483844,-2.58299825,-4.91391002,14.1460774,-5.93101953,1.26342022
16,-1.62869412,-0.299007888,106.191039,0.531964242,0.762529717,-0.0432305533,0.875577051,-0.373146014,1.66474634,0,0,-1.18251022,14.6248625,-26.4493629,66.3720013,-4.10767705,-3.11294452,-20.3830398,-5.80416285,-17.9538592,42.042905,68.4429761,11.7818629,-3.68855359,20.6907843,-7.66328015,1.57406651,2.17983652,11.6500906,-4.61435073,-1.68918059,-8.96516629,-2.57694393,-4.9105645,14.1484176,-5.92683433,1.24722979
17,-1.62445195,-0.293843239,106.195688,0.532819389,0.764207583,-0.0437168438,0.862336729,-0.356231184,1.67421736,0,0,-1.16320075,14.5226231,-26.2668004,66.412074,-3.88747303,-3.08961153,-20.3692651,-5.81288201,-17.9617327,42.0883087,68.4542664,11.8113283,-3.67760778,20.6889213,-7.66505002,1.57103753,2.18178803,11.6535936,-4.60909361,-1.66495103,-8.96346642,-2.57985508,-4.90080374,14.1463104,-5.92520789,1.21492886
18,-1.62046682,-0.28926942,106.203234,0.531993392,0.764447326,-0.0381495165,0.844572047,-0.353930531,1.68620893,0,0,-1.17506478,14.5203623,-26.19278,66.4381858,-3.91875786,-3.11352508,-20.4414089,-5.81024812,-17.9526263,42.1111932,68.451466,11.8175122,-3.66787989,20.6599852,-7.66555973,1.57102729,2.17638108,11.6544961,-4.60059558,-1.67380466,-8.9624769,-2.57990588,-4.90897222,14.1473888,-5.92674468,1.1746602
19,-1.61470976,-0.290306914,106.208837,0.536531284,0.764782417,-0.0381388921,0.865930369,-0.376811211,1.69263421,0,0,-1.16965965,14.5303412,-26.1609769,66.4481237,-3.89987879,-3.14355444,-20.5089766,-5.79628935,-17.9393877,42.0992063,68.4419379,11.8111285,-3.66997206,20.6398874,-7.66615993,1.56796352,2.18396494,11.657293,-4.59233575,-1.68878882,-8.9632359,-2.58336004,-4.91136919,14.1512248,-5.92939949,1.15886059
