Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.6043799,-0.0313258293,105.692255,-0.363246754,1.31204494,-0.0422083285,-0.473637387,0.904536573,0.98624762,0,0,-1.38583332,13.9669326,-27.0700051,74.1147993,-10.8887328,-7.20856884,-18.1374068,0.527876773,-18.7056752,36.1263561,72.1621644,18.9553288,-3.47390636,19.1905093,-11.6729632,4.51787089,-2.61292515,17.0438065,-7.07618868,-4.26136527,-10.700258,-4.3269893,-7.42271235,17.3425965,-7.41188308,3.18813508
1,-1.60377286,-0.0375974632,105.690598,-0.350859827,1.31103029,-0.0363486977,-0.484029253,0.89970955,0.985559265,0,0,-1.37114863,13.9360029,-26.9798295,74.1202908,-10.7985487,-7.22714781,-18.1534287,0.513474198,-18.7386564,36.1195361,72.1408337,19.0516379,-3.43909288,19.249768,-11.67579,4.5071428,-2.62066205,17.054424,-7.06757752,-4.28717997,-10.6951525,-4.33897842,-7.4254282,17.3398388,-7.41527427,3.20136132
2,-1.60258226,-0.0414431066,105.690897,-0.354166164,1.31024711,-0.0308265208,-0.489888915,0.897477892,0.978069535,0,0,-1.37115076,13.9752851,-27.0924286,74.0898623,-10.9237845,-7.20990329,-18.1799384,0.511538053,-18.7313089,36.1225585,72.140219,19.0548378,-3.43669506,19.2333448,-11.6735958,4.51331259,-2.62205434,17.0513811,-7.06966158,-4.2835954,-10.6967114,-4.33444872,-7.42745421,17.3497819,-7.42028678,3.1918618
3,-1.60383452,-0.0438485644,105.692983,-0.35632709,1.30756276,-0.0265580664,-0.490566064,0.891948641,0.98273829,0,0,-1.36982752,13.9661531,-27.0593722,74.0955245,-10.9113075,-7.25543589,-18.2151924,0.487706189,-18.7237683,36.1704211,72.1511473,19.0308724,-3.42830951,19.1760703,-11.6704207,4.51843907,-2.6288062,17.0461851,-7.06379658,-4.28917097,-10.7022926,-4.33192454,-7.43726407,17.3661982,-7.41136655,3.19144965
4,-1.60303265,-0.0466102152,105.700552,-0.366566586,1.30696046,-0.0244896065,-0.51013637,0.898525366,0.976226985,0,0,-1.36592652,13.9544897,-27.0413166,74.1054761,-10.9061643,-7.24044448,-18.157392,0.468649588,-18.7560632,36.164653,72.1228703,19.1609773,-3.35126903,19.3225915,-11.6676459,4.53276796,-2.63233634,17.0397425,-7.05053363,-4.30537388,-10.697952,-4.3155688,-7.42088271,17.3593783,-7.38444707,3.18889878
5,-1.60390418,-0.0521458744,105.700374,-0.362523528,1.3035685,-0.0212187925,-0.519891802,0.893791778,0.979911766,0,0,-1.34698406,13.9482879,-26.9645435,74.0903268,-10.8363222,-7.25698805,-18.2003863,0.45881689,-18.7391397,36.1640007,72.1368858,19.0683924,-3.37565387,19.2809171,-11.6717321,4.53187064,-2.63245821,17.0498239,-7.05287297,-4.30528723,-10.6948067,-4.31799351,-7.42281395,17.3615076,-7.39077182,3.19272903
6,-1.60362087,-0.0579045329,105.696607,-0.357575285,1.30399954,-0.0194399486,-0.525211772,0.884073273,0.980633524,0,0,-1.35375715,13.9427828,-26.9441776,74.0993016,-10.8182137,-7.26461908,-18.2306594,0.45232693,-18.7470422,36.1195259,72.1252472,19.065049,-3.37528227,19.3526785,-11.6718584,4.52857806,-2.63743785,17.0518815,-7.06556603,-4.29802588,-10.6933783,-4.32032645,-7.43511256,17.3611388,-7.40965474,3.19195828
7,-1.60368178,-0.0636045646,105.696905,-0.35218748,1.30348512,-0.0238127309,-0.528184025,0.878508162,0.978121082,0,0,-1.35628155,13.9586314,-26.9880667,74.0979288,-10.8551787,-7.27408829,-18.2350922,0.429661587,-18.7573575,36.1143589,72.112625,19.0238202,-3.31725447,19.3582297,-11.6736539,4.52628952,-2.62884483,17.058949,-7.05951192,-4.28640047,-10.6908682,-4.3215324,-7.43140803,17.3556405,-7.4076902,3.20182641
8,-1.60453301,-0.0646991015,105.698013,-0.354822347,1.30169175,-0.0204543626,-0.544856036,0.876463748,0.973909844,0,0,-1.35674077,13.958534,-26.9710698,74.1035637,-10.8673765,-7.28335856,-18.2301523,0.417736184,-18.7783979,36.0873181,72.0975713,18.9504521,-3.31261656,19.4057251,-11.6705632,4.53195602,-2.6401076,17.0550831,-7.06434897,-4.3025099,-10.6943627,-4.31846608,-7.43324279,17.3684863,-7.41607682,3.19782264
9,-1.60496924,-0.060505257,105.698884,-0.371291938,1.29993061,-0.0251399296,-0.550250979,0.898778083,0.981569581,0,0,-1.36285817,13.9425616,-26.9273924,74.0977717,-10.8030737,-7.2813428,-18.2463552,0.417332963,-18.7690183,36.0802626,72.0856184,18.9330163,-3.31836481,19.370857,-11.662916,4.55073947,-2.63281381,17.0416345,-7.07775493,-4.28402271,-10.7003852,-4.30118741,-7.4367168,17.3817813,-7.40250865,3.18142677
10,-1.60722323,-0.0629836693,105.695915,-0.375228457,1.29822902,-0.0319942325,-0.546498643,0.893166549,0.9806887,0,0,-1.3684888,13.9219464,-26.8401658,74.1359114,-10.7063232,-7.30132025,-18.2164475,0.415790247,-18.7946896,36.0557968,72.0503678,18.9309365,-3.35220178,19.423569,-11.658058,4.5580546,-2.64400636,17.0372751,-7.07725675,-4.31680079,-10.704859,-4.29311028,-7.44049475,17.3880292,-7.40424693,3.14318817
