Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.56814102,-0.147765584,106.165814,0.207724988,1.6501379,-0.00864214505,-1.32190403,-0.00982042381,-0.849155158,0,0,3.35600833,14.1967907,-27.562781,69.3296166,-10.5399048,-1.92626959,-24.0670475,-1.02052332,-17.7486171,38.5229465,72.7788621,17.8295565,-1.40315532,31.4101446,-7.65548093,5.10633139,6.53046297,10.586473,-3.82078349,-4.44695517,-9.11329431,-6.07617983,-10.2027778,13.2779996,-4.50284959,4.29604897
1,-1.56845208,-0.149425317,106.164825,0.209914851,1.64996549,-0.00997236969,-1.32159102,-0.0159172373,-0.847100925,0,0,3.36902282,14.153623,-27.4444326,69.3463506,-10.4122896,-1.93658595,-24.0595992,-1.01835303,-17.735831,38.5336631,72.7826597,17.7960937,-1.42022717,31.3384789,-7.65523077,5.10333592,6.53786689,10.5880483,-3.8246276,-4.44944306,-9.11235089,-6.0779544,-10.2000688,13.2765046,-4.49479637,4.33408629
2,-1.5685752,-0.150592404,106.16231,0.211095417,1.64877475,-0.00483119037,-1.3260347,-0.0230513115,-0.851980241,0,0,3.36659982,14.182828,-27.4585131,69.3362077,-10.4123775,-1.94548654,-24.0747195,-1.01686544,-17.7421113,38.5391136,72.772995,17.858216,-1.40242332,31.3811505,-7.65184983,5.10199848,6.53971403,10.5862058,-3.81444337,-4.46858851,-9.11313636,-6.08003205,-10.202385,13.2866236,-4.49273707,4.36363326
3,-1.56963784,-0.149150717,106.163406,0.210063969,1.64758894,0.000477252119,-1.32734012,-0.0215987157,-0.845672562,0,0,3.38941692,14.1192663,-27.2819253,69.3505375,-10.2166328,-1.95959152,-24.0587676,-1.01890585,-17.7302746,38.5353467,72.7873999,17.8122642,-1.4435258,31.3314164,-7.65193521,5.1029069,6.53287701,10.585282,-3.80143442,-4.48776256,-9.1137451,-6.08009182,-10.2015885,13.2923276,-4.49588664,4.3513116
4,-1.57065988,-0.149580266,106.160581,0.212544533,1.6477234,-0.00235205091,-1.31988731,-0.0247506979,-0.844421623,0,0,3.37648609,14.1431839,-27.3406086,69.3391925,-10.2931745,-1.96457094,-24.0793914,-1.01699756,-17.7469659,38.5437308,72.7504895,17.8523745,-1.3947147,31.35426,-7.65384851,5.09938764,6.54351674,10.5908247,-3.81187735,-4.47501145,-9.11031549,-6.08070141,-10.2018745,13.2834953,-4.50247692,4.34307568
5,-1.57080553,-0.148894452,106.159449,0.206405086,1.64723238,-0.00417021821,-1.31781392,-0.0217445342,-0.83982624,0,0,3.37301208,14.1328831,-27.3366727,69.3539389,-10.2755867,-1.96209307,-24.0542631,-1.01720012,-17.7500309,38.5399776,72.7347323,17.8850057,-1.38144034,31.3579381,-7.65409525,5.10824982,6.54308345,10.5898506,-3.81143424,-4.47601933,-9.11213403,-6.07423877,-10.2061792,13.2877437,-4.49559892,4.33399537
6,-1.56922489,-0.148669654,106.158113,0.21183872,1.64718768,0.00222512888,-1.33436529,-0.0236752733,-0.845321767,0,0,3.36893062,14.1796076,-27.4259262,69.3267206,-10.3549151,-1.96001435,-24.0453395,-1.02477095,-17.7532787,38.5803748,72.7461319,17.9090497,-1.40571632,31.3486832,-7.65150661,5.10031442,6.53989802,10.5870015,-3.81068292,-4.47299228,-9.11083544,-6.08199787,-10.2076076,13.2926743,-4.49626572,4.36107621
7,-1.5698636,-0.149082707,106.157649,0.21130409,1.64581595,0.00447974033,-1.31835383,-0.027130045,-0.836686381,0,0,3.36224728,14.1703681,-27.416533,69.3372186,-10.3555725,-1.99793321,-24.0937536,-1.03483086,-17.7539224,38.5920271,72.7577159,17.9004471,-1.46038516,31.3398278,-7.65477486,5.10094109,6.54986967,10.5952994,-3.80730667,-4.51959636,-9.10590746,-6.08182455,-10.2063525,13.2892335,-4.48931515,4.37983447
8,-1.56961493,-0.147260923,106.157947,0.201376752,1.64610805,0.00560548278,-1.32238183,-0.0269869062,-0.83748007,0,0,3.36565917,14.1793207,-27.4179059,69.3305318,-10.4004571,-1.9688953,-24.0458022,-1.04256306,-17.7444063,38.6212056,72.7638425,17.9138377,-1.47716715,31.3258498,-7.64921252,5.1130493,6.53702379,10.5840219,-3.81500515,-4.52357751,-9.11316795,-6.07061066,-10.2121787,13.3027496,-4.48511287,4.37512975
9,-1.56835336,-0.150779088,106.162953,0.210032056,1.64612357,0.00562891739,-1.31399873,-0.0328565616,-0.83298143,0,0,3.39106043,14.1321105,-27.3053256,69.3239407,-10.2749857,-1.96288089,-24.0199551,-1.05352285,-17.756704,38.6468701,72.7573197,17.9667272,-1.47085029,31.340446,-7.65829923,5.10409194,6.55296417,10.6015644,-3.8156109,-4.51513881,-9.10484622,-6.07706391,-10.2043291,13.2857689,-4.48563069,4.35889567
