Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.62239745,-0.311678322,105.880058,0.161113467,1.14717306,0.0078972148,0.815888241,-0.366584924,2.96424404,0,0,-2.0962382,13.269268,-30.3681207,69.2976991,-12.6209815,-4.11518855,-26.1352049,-2.03269546,-15.5876409,38.4839154,73.8353012,26.3646805,-2.37232768,30.2624065,-10.8691438,-0.667348595,-0.951129775,15.7107499,-6.27415243,0.575611044,-10.3023346,-5.14651211,-4.95745674,16.5289656,-6.81017415,3.91863235
1,-1.6169725,-0.30310601,105.875993,0.155053106,1.15056785,0.0172979046,0.80487851,-0.374612104,2.96646385,0,0,-2.09124021,13.2376084,-30.258865,69.3302245,-12.5231356,-4.17574842,-26.1642844,-2.03251104,-15.5774109,38.4367188,73.8538315,26.2737109,-2.40221168,30.3027763,-10.8696151,-0.668242016,-0.949809308,15.7121569,-6.28931033,0.590240616,-10.2964769,-5.14743632,-4.96034335,16.5237029,-6.80855753,3.92552359
2,-1.61041021,-0.293051079,105.880642,0.158280724,1.15263453,0.0371250732,0.796987507,-0.372142217,2.96963328,0,0,-2.06925704,13.1933249,-30.1580821,69.3321165,-12.4047556,-4.17140784,-26.1721733,-2.03292171,-15.5836674,38.5425082,73.8434974,26.3659184,-2.40147018,30.2111356,-10.8723515,-0.682849977,-0.968784747,15.7157103,-6.28312816,0.601697671,-10.2939207,-5.16005424,-4.97867003,16.5263377,-6.81520331,3.92143145
3,-1.60398223,-0.279588019,105.885839,0.139452839,1.15383639,0.0504301535,0.799541677,-0.3589897,2.97824721,0,0,-2.06832322,13.1660767,-30.1129209,69.3567461,-12.3341468,-4.18560225,-26.1467155,-2.04176745,-15.5868451,38.5092725,73.8471652,26.4384414,-2.36589855,30.3412337,-10.8677206,-0.670981082,-0.978041041,15.7067918,-6.29572815,0.618671225,-10.2955838,-5.14704059,-4.99732541,16.5403208,-6.80298068,3.92874061
4,-1.59607753,-0.269797165,105.884445,0.140130229,1.15638522,0.0611899644,0.799082401,-0.35354708,2.98273123,0,0,-2.05223279,13.1367521,-30.0361052,69.3547449,-12.2117738,-4.24612114,-26.1911612,-2.03129869,-15.5928813,38.5049695,73.837883,26.3464951,-2.38461114,30.264739,-10.8696646,-0.681317293,-0.982831458,15.7134427,-6.30368276,0.62474529,-10.291455,-5.15772216,-4.99907351,16.5416202,-6.80905315,3.95607844
5,-1.59339681,-0.262979232,105.875814,0.139536587,1.15823052,0.0641046473,0.809233823,-0.350958118,2.98823316,0,0,-2.06286142,13.153066,-30.0773425,69.3501823,-12.2490914,-4.25697218,-26.2201759,-2.00573649,-15.5921249,38.4627418,73.8186355,26.3094054,-2.41276646,30.2239354,-10.8731668,-0.687736603,-0.987068096,15.7220283,-6.31472589,0.624749506,-10.2854461,-5.16554144,-4.99980904,16.5338031,-6.81367975,3.97248797
6,-1.58865415,-0.257670926,105.874777,0.136337519,1.15999231,0.0714281192,0.818867271,-0.351398398,2.9928,0,0,-2.04603845,13.1382864,-30.0173734,69.3406269,-12.1743358,-4.24822825,-26.2399749,-2.00523703,-15.5922376,38.4765149,73.8221189,26.3311306,-2.41086105,30.2125222,-10.8719835,-0.689727817,-0.996666753,15.7215997,-6.31797279,0.642204268,-10.2834116,-5.16916656,-4.99574678,16.5376177,-6.80692384,3.97837474
7,-1.58255417,-0.245676353,105.879223,0.131925605,1.16113788,0.0773364773,0.825162464,-0.346823026,2.99798518,0,0,-2.0393741,13.1136644,-29.9681209,69.3538638,-12.0774897,-4.28399369,-26.2843267,-2.00354165,-15.599189,38.4915174,73.8180891,26.3739968,-2.42084166,30.2134067,-10.8698798,-0.692845905,-0.988200307,15.7176979,-6.30482126,0.648880778,-10.2864852,-5.17184869,-4.99902997,16.5493281,-6.80947961,3.96682574
8,-1.57639589,-0.233147806,105.878508,0.123114869,1.16235007,0.0758107763,0.846751625,-0.350182972,3.00198511,0,0,-2.02802745,13.1191354,-29.9749511,69.3407908,-12.0506727,-4.26486787,-26.2669148,-2.00071886,-15.617955,38.5193265,73.7833166,26.5052662,-2.38315908,30.2396756,-10.8695408,-0.689508717,-0.976575111,15.7214204,-6.32028865,0.655261455,-10.2832152,-5.16822144,-5.0045748,16.5466694,-6.80665874,3.97208797
9,-1.57202184,-0.22882123,105.873656,0.133679525,1.16408561,0.0766028633,0.848705272,-0.36458704,3.0088027,0,0,-2.0267009,13.1570907,-30.0478156,69.2962989,-12.1625674,-4.28324663,-26.2932401,-1.97394217,-15.6084815,38.4711361,73.7698679,26.417874,-2.40556637,30.1765168,-10.8756368,-0.706402817,-0.984736014,15.7367951,-6.31893286,0.641026274,-10.2765694,-5.18671588,-5.00158702,16.5348088,-6.81101427,3.98711781
