Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.73110794,-0.015990698,105.892003,-0.393322816,0.851086037,-0.0335159523,-0.17982514,2.71705566,2.83517759,0,0,-0.747609188,13.6888372,-20.6129133,67.3192665,-4.71198444,-6.37586633,-20.209898,-3.80539251,-20.3773862,36.6816744,70.245101,10.9585749,-3.48428718,24.9127667,-9.6048818,3.8950968,1.38614879,16.876308,-8.01986042,-3.01592787,-8.95737645,1.07711592,-7.97153683,14.8344879,-7.30055271,-2.00328338
1,-1.72530022,-0.0132871646,105.891502,-0.392104409,0.84984608,-0.0326655598,-0.20337123,2.71656431,2.84885269,0,0,-0.747441315,13.6900956,-20.5848275,67.3046636,-4.70104205,-6.37779501,-20.2444963,-3.81497527,-20.3768466,36.7418586,70.232349,10.9789801,-3.45865305,24.8666561,-9.60293178,3.89126293,1.37855106,16.8806247,-8.02216732,-3.01651847,-8.96391038,1.0704456,-7.98394216,14.8590048,-7.29878369,-1.97919011
2,-1.71770584,-0.0114746086,105.893457,-0.388698568,0.852928153,-0.0273602803,-0.211600154,2.71627339,2.85145158,0,0,-0.749990736,13.7000592,-20.6249959,67.296119,-4.78233709,-6.38809109,-20.2648024,-3.81441519,-20.3644788,36.7465817,70.2365769,10.9965149,-3.49543404,24.85457,-9.60504061,3.88539921,1.38029724,16.8880235,-8.02314233,-3.01057194,-8.95823023,1.06533257,-7.98698672,14.8527228,-7.30575475,-1.98516844
3,-1.71463899,-0.00820779023,105.893481,-0.386806614,0.854995455,-0.0283347869,-0.223828981,2.70528788,2.85924419,0,0,-0.741656891,13.6681255,-20.5124941,67.3023618,-4.66702301,-6.42010845,-20.3033964,-3.83105609,-20.35165,36.7697189,70.2474438,11.1060583,-3.52200348,24.873797,-9.60718443,3.88222616,1.38690876,16.892487,-8.03193107,-2.99790663,-8.95370352,1.064463,-7.98350503,14.8406982,-7.30844926,-1.96255731
4,-1.70672871,-0.00620500796,105.89354,-0.388136298,0.85759436,-0.0263227589,-0.237803468,2.708027,2.86257326,0,0,-0.728034132,13.6768647,-20.5169559,67.2659228,-4.65194793,-6.43262221,-20.2742008,-3.83135193,-20.3502174,36.81014,70.2387831,11.1790671,-3.5262636,24.8596619,-9.60437637,3.88171176,1.38562223,16.8884282,-8.0347545,-3.00737327,-8.9580646,1.06188866,-7.9918575,14.8515753,-7.29321965,-1.96798582
5,-1.7005248,-0.00446475424,105.894101,-0.395846781,0.857084122,-0.0241271256,-0.265830269,2.71541748,2.87446057,0,0,-0.732762651,13.6966484,-20.5515901,67.2548852,-4.70485457,-6.44289183,-20.2879499,-3.83100017,-20.357121,36.8162837,70.2138324,11.2012003,-3.50380103,24.8556065,-9.60072819,3.8893048,1.38558103,16.8906104,-8.03260043,-2.99025725,-8.96236932,1.06627246,-8.00445834,14.8678619,-7.27707223,-1.95552222
6,-1.69693641,-0.00859286592,105.896771,-0.396680812,0.858261009,-0.0201950006,-0.262806389,2.70623664,2.87671026,0,0,-0.710818054,13.6906967,-20.5292281,67.2378234,-4.70049264,-6.44853485,-20.2425497,-3.82454991,-20.342057,36.8081012,70.2122205,11.1492456,-3.49759046,24.8215051,-9.60113715,3.89188875,1.37286354,16.889854,-8.03182947,-3.00505165,-8.96090681,1.06756668,-8.00155637,14.8671686,-7.27383898,-1.94868456
7,-1.69088133,-0.010241237,105.897236,-0.382782858,0.861677713,-0.0158882954,-0.281407102,2.68685064,2.87938577,0,0,-0.713569233,13.7089393,-20.5471693,67.2225715,-4.69381443,-6.48043226,-20.2107432,-3.81555242,-20.3318049,36.827615,70.2021118,11.1282291,-3.54787389,24.7757496,-9.60128827,3.87531871,1.37172578,16.894046,-8.03384182,-3.0032854,-8.95815424,1.0528441,-8.01348444,14.8655891,-7.28262175,-1.92799784
8,-1.68528911,-0.0105603023,105.897605,-0.392931903,0.865681518,-0.0181443315,-0.266137441,2.66848746,2.88842766,0,0,-0.714081017,13.729318,-20.5532294,67.2022586,-4.66873824,-6.47873239,-20.2195063,-3.81548839,-20.3105937,36.7570216,70.1924334,11.1808173,-3.52103253,24.8593426,-9.59727639,3.88874088,1.37944187,16.885551,-8.04889214,-2.98607568,-8.9582806,1.06432501,-8.01800005,14.8666222,-7.28825922,-1.95356857
9,-1.68074165,-0.0114326482,105.894148,-0.393693393,0.869958478,-0.00909035959,-0.308468392,2.67356443,2.88644691,0,0,-0.707196346,13.7388214,-20.5543222,67.19814,-4.68978974,-6.48770129,-20.2069046,-3.80851732,-20.3114373,36.7517521,70.1784725,11.1161961,-3.50814695,24.8645814,-9.59857412,3.8891016,1.37434772,16.8789428,-8.05558914,-2.99823213,-8.9566277,1.06644002,-8.03062224,14.8580366,-7.30628494,-1.9843787
