Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.61309689,-0.0754118431,106.050766,-0.0709302865,1.10582521,-0.0349041461,0.645268835,1.3980885,1.02407246,0,0,-1.33155979,13.9679768,-22.7753853,74.152461,-10.2311598,-5.73937979,-22.1542872,-2.52699497,-19.1332809,35.6400534,74.8338748,16.499215,-2.36670772,21.8362753,-10.0154035,2.91041084,-0.652391655,14.3083746,-5.48782434,-2.68387139,-9.60837971,-1.58365406,-6.21286472,14.8780559,-6.43910534,0.527240231
1,-1.61513183,-0.0828769582,106.045949,-0.057878585,1.10708945,-0.0419216061,0.62418847,1.3990682,1.02825211,0,0,-1.32736594,13.9518652,-22.6936877,74.1567708,-10.1331397,-5.73047279,-22.1807508,-2.51371964,-19.1519597,35.610144,74.8027701,16.4088277,-2.35347167,21.8157113,-10.0129583,2.89875384,-0.648446314,14.3032332,-5.50119956,-2.67128848,-9.60990541,-1.5930904,-6.21513362,14.8746562,-6.46547329,0.509361998
2,-1.61346681,-0.0917664845,106.044281,-0.0622193567,1.10738406,-0.0458600084,0.638745631,1.38396911,1.0272946,0,0,-1.31599752,13.9740215,-22.7024867,74.1429329,-10.1595376,-5.76092263,-22.1756845,-2.49453471,-19.1284365,35.5227928,74.8015065,16.330762,-2.37521258,21.8426974,-10.0090079,2.91247462,-0.640125382,14.2997344,-5.49001129,-2.68235872,-9.61080528,-1.58136211,-6.20262627,14.8810919,-6.4664833,0.507921148
3,-1.61095448,-0.0980106066,106.043565,-0.0550597982,1.10821321,-0.0511583348,0.634063269,1.39180398,1.02247964,0,0,-1.31861914,13.9731378,-22.7365386,74.1507603,-10.190743,-5.73509085,-22.1592083,-2.46690062,-19.1492054,35.5407049,74.7592004,16.3410244,-2.37105236,21.8056573,-10.0057371,2.90799808,-0.634268335,14.2993673,-5.48836692,-2.68794603,-9.61142512,-1.58479962,-6.21145172,14.8860626,-6.46601928,0.52964942
4,-1.61438826,-0.103199447,106.040752,-0.0668965129,1.10850364,-0.0623481036,0.652096943,1.40011728,1.02517265,0,0,-1.32203701,13.9697893,-22.7586411,74.163,-10.2302514,-5.76403036,-22.1342355,-2.45406456,-19.1558393,35.5409747,74.7227545,16.3743813,-2.35021644,21.7792996,-10.0073951,2.92770296,-0.631210758,14.3013429,-5.4908689,-2.72386578,-9.6106499,-1.56393851,-6.20110783,14.8778032,-6.4658481,0.492422168
5,-1.61505267,-0.107678701,106.041157,-0.0666500203,1.10773806,-0.0646665023,0.634370414,1.4044283,1.02672823,0,0,-1.32232249,13.9602971,-22.6972411,74.1876296,-10.1617172,-5.77380949,-22.1792942,-2.44934041,-19.1659701,35.5397658,74.7120994,16.361795,-2.34879533,21.8110207,-10.0031672,2.9287627,-0.623709076,14.2977289,-5.4813331,-2.70052254,-9.61650166,-1.5606756,-6.20173621,14.8889125,-6.46312669,0.499072051
6,-1.61353219,-0.116395229,106.039393,-0.0594906084,1.10866668,-0.068708029,0.645331267,1.39541362,1.02643357,0,0,-1.29056947,13.949852,-22.6133766,74.1532396,-10.0599918,-5.75328989,-22.179173,-2.44834193,-19.1602977,35.5122709,74.7237722,16.31745,-2.35681184,21.804269,-10.0000612,2.92497579,-0.615324859,14.2932731,-5.48063856,-2.71394258,-9.61680561,-1.56390713,-6.19597964,14.8900958,-6.47578175,0.492269236
7,-1.61149595,-0.124246092,106.037414,-0.0543128082,1.11039949,-0.0746696544,0.639115315,1.39057294,1.01987243,0,0,-1.2731764,13.9248467,-22.516528,74.1711484,-9.89819232,-5.76750138,-22.1487103,-2.43772376,-19.1581154,35.4908275,74.71115,16.2573085,-2.32986632,21.7830459,-10.0004667,2.92296729,-0.61437621,14.2940056,-5.47897242,-2.70469344,-9.61517661,-1.56462206,-6.19727311,14.8837779,-6.47279611,0.485610122
8,-1.61021184,-0.129178329,106.037891,-0.0631332539,1.1101778,-0.0766493825,0.646648533,1.39997502,1.02144849,0,0,-1.27380296,13.9238819,-22.5341618,74.1777259,-9.93916321,-5.78501356,-22.1772315,-2.43483523,-19.1713199,35.5164612,74.6889792,16.2964506,-2.30781591,21.8040385,-9.99541921,2.94002633,-0.632889651,14.2841539,-5.45958109,-2.7293532,-9.61816652,-1.55237233,-6.19323433,14.8945064,-6.45396656,0.519808078
9,-1.60857551,-0.133823243,106.036246,-0.0665864048,1.11197481,-0.0854878434,0.663617978,1.40844349,1.02081659,0,0,-1.26523908,13.9259685,-22.5800556,74.1660599,-9.98345784,-5.80457778,-22.1547824,-2.41619287,-19.157721,35.4297314,74.6864725,16.2433202,-2.31402327,21.7982585,-9.9940711,2.94816791,-0.619535083,14.283552,-5.46503713,-2.74095427,-9.61675438,-1.54216504,-6.19087322,14.8866705,-6.45630632,0.499356624
