Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.20210648,-0.309862802,105.999398,0.595810326,3.39089175,-0.0712517712,-0.734515502,0.408118557,0.225092406,0,0,0.22007187,15.2382169,-23.2966773,68.3839974,-8.47021321,-6.27625229,-18.3404086,-3.41026991,-20.6307845,38.8447509,66.6618335,8.16258064,-3.80054649,15.002823,-10.7931162,4.0515171,0.960065797,11.0441931,-3.52869429,-4.36816894,-12.2046473,-4.12514013,-9.67657232,17.1106228,-7.84725215,1.80979928
1,-1.19892079,-0.314687728,105.989289,0.601131179,3.39297914,-0.0809911076,-0.736346846,0.41027719,0.229706332,0,0,0.207245695,15.222487,-23.3001556,68.3930816,-8.45428607,-6.28748795,-18.3051136,-3.42552834,-20.5724751,38.7597799,66.6371355,8.33525636,-3.89386737,15.1320177,-10.790326,4.04863518,0.96667742,11.0466792,-3.54256875,-4.3682859,-12.2008651,-4.12777957,-9.67097498,17.1025085,-7.8662008,1.81699019
2,-1.19550563,-0.324041769,105.985868,0.60376314,3.39439145,-0.0827473935,-0.743433541,0.402050121,0.233362644,0,0,0.222109828,15.2195654,-23.2752339,68.38188,-8.45719231,-6.27978264,-18.2731534,-3.45974246,-20.522818,38.7473148,66.6309474,8.20893286,-3.85533101,15.045037,-10.7905574,4.05125883,0.963975547,11.048829,-3.54851358,-4.36314149,-12.1982935,-4.12785983,-9.67719728,17.1033879,-7.87960334,1.79930747
3,-1.19246421,-0.327698817,105.988336,0.605186146,3.39487495,-0.0868183465,-0.744837465,0.401316543,0.234229438,0,0,0.209430876,15.2277172,-23.3195038,68.393464,-8.51524294,-6.28737611,-18.2637978,-3.49279738,-20.4728415,38.7772276,66.6370263,8.62429289,-3.97123676,15.3420546,-10.7900229,4.05357256,0.974248151,11.0505366,-3.54259394,-4.36769467,-12.1972519,-4.12445669,-9.67144627,17.1003041,-7.88354948,1.77298243
4,-1.1869669,-0.326096336,105.989385,0.601540226,3.39526001,-0.0898993977,-0.749919766,0.410716564,0.234518601,0,0,0.212501339,15.2264912,-23.3307839,68.3887307,-8.51427049,-6.27723712,-18.2204944,-3.53389164,-20.4591982,38.8132091,66.6126698,8.77719009,-4.03920269,15.4856013,-10.7869212,4.05762713,0.96590198,11.0519026,-3.55466971,-4.37519592,-12.197246,-4.1189682,-9.66508992,17.1060414,-7.88243445,1.80348456
5,-1.18219946,-0.323885866,105.991411,0.599458437,3.39373654,-0.104187764,-0.743871687,0.415556153,0.235855183,0,0,0.209051413,15.254425,-23.3987733,68.379872,-8.56554472,-6.27270145,-18.2126038,-3.58158685,-20.4598846,38.8602622,66.583942,8.74706554,-4.07620567,15.4838835,-10.7829016,4.06060338,0.979615079,11.0645538,-3.54921303,-4.3859031,-12.1998696,-4.11821816,-9.65398062,17.1154261,-7.86892775,1.80901061
6,-1.17880162,-0.329663442,105.985379,0.602438929,3.39510205,-0.106628747,-0.759247937,0.417329814,0.242940544,0,0,0.208002579,15.2606831,-23.4351662,68.3647704,-8.66105041,-6.25498692,-18.2012128,-3.63396928,-20.4562065,38.9244968,66.5714769,8.74780918,-4.13932388,15.4523297,-10.782695,4.06048428,0.994321224,11.0674097,-3.55045613,-4.35989544,-12.1931717,-4.11690421,-9.65373815,17.1025307,-7.87372596,1.81137641
7,-1.17623415,-0.332650566,105.975401,0.602706391,3.39479945,-0.111563639,-0.758997141,0.422361209,0.244465144,0,0,0.191926008,15.3018572,-23.5488103,68.3612256,-8.7695898,-6.26062909,-18.1939881,-3.66967409,-20.4481657,38.9642041,66.5668734,8.77464926,-4.22916605,15.4852632,-10.7776108,4.06154424,1.00168758,11.0686033,-3.57686783,-4.36359612,-12.1912687,-4.11787879,-9.65956003,17.1106945,-7.89213674,1.84072339
8,-1.17082689,-0.332701183,105.976701,0.603534559,3.39319294,-0.1107557,-0.7690515,0.428238667,0.244088896,0,0,0.204299949,15.3020929,-23.5465068,68.341739,-8.79240946,-6.27395948,-18.1713546,-3.7057281,-20.4570603,38.9767375,66.5237271,8.78165618,-4.13289624,15.6162218,-10.7756189,4.06332223,0.996267187,11.0742655,-3.57891689,-4.37499571,-12.1901989,-4.1170613,-9.66661391,17.1192766,-7.90452585,1.81048337
9,-1.16632106,-0.330276974,105.985022,0.597302469,3.39027911,-0.107103828,-0.767722868,0.43623287,0.249537039,0,0,0.204232781,15.2896739,-23.5203455,68.3428933,-8.73937816,-6.2523176,-18.147717,-3.7156673,-20.4536247,38.9648256,66.4485267,8.62801022,-4.06218713,15.5735451,-10.771712,4.07334041,0.979737702,11.0735151,-3.57958347,-4.38486832,-12.1969813,-4.11150622,-9.6634114,17.1458683,-7.8908151,1.81092776
