Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.70912612,0.0570637058,105.78922,-0.654429818,1.29129573,-0.108027321,-1.1600436,2.02138851,3.90184844,0,0,-4.60692375,16.1056407,-25.6944323,63.1613684,0.463958422,-3.83388166,-14.4384957,-3.13971715,-24.8853981,38.9102217,58.29645,0.718671864,-3.51167154,17.9352059,-11.9695368,5.44594291,-3.89610297,16.2505773,-5.86961143,-5.03729141,-10.4484682,-2.27006502,-12.5608963,16.4336605,-6.98399735,0.640804773
1,-1.70244277,0.054082158,105.785942,-0.667396108,1.27555834,-0.0924432405,-1.15408522,2.04092456,3.9065506,0,0,-4.58991786,16.099403,-25.7177027,63.1726314,0.503073635,-3.85720078,-14.4066158,-3.17568237,-24.8810848,38.8858652,58.2579892,0.771775891,-3.49996801,17.9158577,-11.9609359,5.46308198,-3.89454484,16.276614,-5.89915285,-5.08899167,-10.4630746,-2.2642075,-12.5487847,16.5119106,-7.00218401,0.629816226
2,-1.68708581,0.0526783057,105.788195,-0.672480025,1.26438837,-0.0653881382,-1.19633026,2.07751175,3.89974773,0,0,-4.58641867,16.1121891,-25.8266289,63.194126,0.376766468,-3.84393313,-14.3970808,-3.24864928,-24.9179456,38.9906164,58.2498545,0.689914633,-3.61189026,17.6980191,-11.956288,5.46684542,-3.91403521,16.3024577,-5.9099962,-5.11864152,-10.4609256,-2.26709773,-12.5578654,16.5640506,-7.00740569,0.635759771
3,-1.67653114,0.0507901306,105.784988,-0.682497592,1.25091792,-0.0277093846,-1.24587955,2.12270006,3.90600376,0,0,-4.56321395,16.0739042,-25.8336811,63.2115839,0.37333251,-3.82567988,-14.3361829,-3.3417264,-24.9959464,39.0882642,58.2037439,0.867913418,-3.61523279,17.7104193,-11.9607327,5.4758681,-3.94321676,16.3407597,-5.93705912,-5.15985702,-10.4582866,-2.26581024,-12.5771692,16.6174507,-7.02476589,0.613688228
4,-1.6639987,0.0434709364,105.786908,-0.686586446,1.24255308,0.0101185541,-1.28146547,2.12371157,3.90822912,0,0,-4.56280841,16.0471709,-25.7977952,63.2822081,0.443527272,-3.83671661,-14.3064792,-3.39273404,-25.0099398,39.1196489,58.137293,1.20724383,-3.53898781,17.5505519,-11.9593351,5.48184579,-3.95575144,16.3548999,-5.94123792,-5.14390511,-10.4609034,-2.26443588,-12.6035423,16.6725481,-7.0330714,0.605353903
5,-1.65046137,0.0376004638,105.782604,-0.692917547,1.23100358,0.0453040762,-1.33960682,2.16716033,3.90922334,0,0,-4.55079795,16.0083925,-25.7725048,63.3318362,0.472266333,-3.81655902,-14.2887754,-3.40791029,-25.0578108,39.0693924,58.0519702,0.983712232,-3.56851942,17.2934089,-11.9616804,5.48809883,-3.9748081,16.3921415,-5.97900331,-5.15332906,-10.4540084,-2.26213325,-12.6151178,16.7201067,-7.05429365,0.606648224
6,-1.6442908,0.0386729487,105.779791,-0.708313906,1.21970253,0.0766744008,-1.35054398,2.18757768,3.92396758,0,0,-4.56136425,15.9807217,-25.7511963,63.4051378,0.535572208,-3.79304524,-14.2912599,-3.46892181,-25.0867401,39.0787429,58.0232083,1.05737187,-3.54621223,17.3498348,-11.961864,5.50121066,-4.00198713,16.4138735,-5.99500858,-5.20359584,-10.460859,-2.25469005,-12.6339495,16.7795089,-7.06613677,0.593759123
7,-1.63577087,0.0314749283,105.780184,-0.704535345,1.20943496,0.105223347,-1.36906275,2.17706944,3.93221376,0,0,-4.57011159,15.9810188,-25.7664105,63.4627641,0.564576447,-3.7553998,-14.2454788,-3.48462292,-25.1092644,39.0132995,57.9042401,1.03693083,-3.47322974,17.3890725,-11.962944,5.49623444,-4.02091059,16.4395977,-5.99923988,-5.18100542,-10.4680794,-2.26553789,-12.6372391,16.8396572,-7.09031095,0.595729846
8,-1.62623916,0.0328150199,105.781591,-0.721275636,1.20114675,0.1275628,-1.39611479,2.20699207,3.93663417,0,0,-4.58413311,16.0151322,-25.8599466,63.5058968,0.460849352,-3.73137759,-14.2460372,-3.50565393,-25.1234934,38.9488737,57.8366963,0.961405475,-3.45835081,17.3460884,-11.9585889,5.51287193,-4.03974228,16.4516342,-6.00803973,-5.1754576,-10.4713135,-2.25593016,-12.6537545,16.8852812,-7.07438337,0.600425548
9,-1.61617044,0.0292849378,105.778575,-0.720849522,1.20060423,0.144397076,-1.43152494,2.21346431,3.93152775,0,0,-4.58801608,16.0356125,-25.8843286,63.5456758,0.445309844,-3.68977619,-14.2270689,-3.52430568,-25.1165368,38.9347762,57.793591,0.89607034,-3.55326184,17.2965918,-11.9581646,5.51126214,-4.03856749,16.4630491,-6.01878703,-5.19045584,-10.4700354,-2.25653293,-12.6725938,16.9042759,-7.08285622,0.571717783
