Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.36706997,-0.270892656,106.053877,0.30761508,2.26276191,-0.0701536294,-0.250276754,1.98648347,2.01138591,0,0,-0.537634712,16.7506138,-25.3724316,62.2575021,1.71222448,-5.69818819,-15.2204106,-5.15487525,-21.0892797,40.2324916,66.9187852,10.4683594,-4.60953544,15.2974552,-10.5544429,4.01311692,-0.210650304,11.404886,-3.10244332,-4.12174041,-10.5298952,-5.65381331,-7.14492557,14.7554438,-5.67244607,4.07752048
1,-1.36587601,-0.276356493,106.049109,0.314681303,2.26402232,-0.0740078896,-0.230676673,1.97803367,1.99419689,0,0,-0.545595137,16.7581731,-25.4296685,62.2601932,1.60261072,-5.72288829,-15.2094448,-5.13384083,-21.0731143,40.2308148,66.948517,10.5426967,-4.6753012,15.27037,-10.555236,4.00831146,-0.201414568,11.4107915,-3.10363881,-4.10835836,-10.5274167,-5.65620388,-7.14866382,14.7541375,-5.68983317,4.04510184
2,-1.36599448,-0.280244765,106.052351,0.31729532,2.26350439,-0.0893934283,-0.230093839,1.97868595,1.9883782,0,0,-0.514405879,16.7315114,-25.3390968,62.2512525,1.67003323,-5.7428333,-15.2215769,-5.13272836,-21.0722025,40.2332327,66.9756807,10.5927995,-4.72237572,15.3650416,-10.5584659,4.00935818,-0.197659591,11.4266597,-3.10709318,-4.11719577,-10.5267951,-5.6557787,-7.13181886,14.7465423,-5.67568486,4.05969411
3,-1.36546679,-0.282480521,106.05371,0.320510243,2.26272813,-0.106962557,-0.246322368,1.99711188,1.99012033,0,0,-0.505919316,16.6830239,-25.2634217,62.2664087,1.74894091,-5.7487952,-15.2447295,-5.13079414,-21.0815343,40.2653483,66.9813839,10.6407756,-4.70903806,15.3949612,-10.5644961,4.00839555,-0.199602647,11.4457467,-3.10375493,-4.08793225,-10.5311186,-5.65833447,-7.1126414,14.7466021,-5.67759005,4.05521351
4,-1.36049287,-0.294325105,106.055093,0.327524718,2.2633673,-0.122982159,-0.187035019,1.95974733,1.98653021,0,0,-0.500352765,16.7113709,-25.2901329,62.2470178,1.74312489,-5.73377092,-15.2551285,-5.10480868,-21.0527484,40.1838983,66.9849356,10.6156055,-4.6993789,15.4044279,-10.5605439,4.00998229,-0.188233517,11.4471016,-3.08999807,-4.09222289,-10.5364803,-5.65960403,-7.09415891,14.752529,-5.67066509,4.06288637
5,-1.35742361,-0.294007361,106.046319,0.318747026,2.26367451,-0.139926983,-0.179552453,1.97881082,1.98106179,0,0,-0.494160931,16.7131894,-25.3173956,62.229553,1.647265,-5.75038365,-15.2724157,-5.09531813,-21.063383,40.1883072,66.9799837,10.6458026,-4.70694034,15.3994043,-10.5505736,4.0212393,-0.170795377,11.4396405,-3.11604649,-4.09060157,-10.5388239,-5.64572807,-7.08400327,14.7541904,-5.67047086,4.05181933
6,-1.35683026,-0.298225693,106.046903,0.319055694,2.26037434,-0.15722476,-0.144165537,1.96413744,1.98075593,0,0,-0.492100882,16.7113282,-25.3012029,62.2357958,1.67420199,-5.7543951,-15.274335,-5.08027592,-21.0527484,40.1474421,66.9753255,10.6650894,-4.7213371,15.4227123,-10.5478927,4.02845539,-0.164019669,11.4503178,-3.11633464,-4.11458066,-10.5468853,-5.64061312,-7.0782817,14.7717082,-5.6700269,4.05061082
7,-1.35863218,-0.302096014,106.05067,0.32601007,2.26067727,-0.17507705,-0.135969069,1.9598468,1.97890217,0,0,-0.47247903,16.7005587,-25.2652334,62.2302838,1.759877,-5.74931856,-15.2636508,-5.06811093,-21.0571471,40.1371285,66.9633864,10.6440251,-4.69811915,15.4182983,-10.5539281,4.02465866,-0.162961043,11.4647312,-3.10715401,-4.10057621,-10.5455705,-5.64492296,-7.0595482,14.7553533,-5.65900383,4.06173421
8,-1.35517335,-0.31164086,106.051528,0.336727779,2.26096315,-0.185970976,-0.119326046,1.93836308,1.97446468,0,0,-0.434680256,16.6565091,-25.1716564,62.2329408,1.88229469,-5.73604793,-15.2639889,-5.0581047,-21.0420438,40.1052999,66.962635,10.5878767,-4.66991346,15.4201373,-10.5549714,4.01953644,-0.15446182,11.4745086,-3.09560544,-4.11887173,-10.5442975,-5.64984625,-7.0433931,14.7474781,-5.65667217,4.07355001
9,-1.35065895,-0.31375282,106.052327,0.333650586,2.26172752,-0.195969117,-0.104875707,1.94605686,1.96927779,0,0,-0.452511345,16.679462,-25.3410861,62.3195954,1.98967381,-6.01697532,-15.0376587,-5.04068302,-21.0557469,40.0947643,66.9409424,10.5509509,-4.66020264,15.3888106,-10.5465378,4.02592054,-0.150209947,11.4656413,-3.09648013,-4.11192969,-10.5468016,-5.64378147,-7.03518748,14.7524897,-5.65224322,4.07252206
