Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.34451548,0.211291714,105.944145,-1.05397399,2.77951391,-0.165265688,-1.63872161,3.18446258,1.22186481,0,0,-0.522515555,14.7307595,-27.2938594,71.6963113,-13.9135615,-5.30750607,-19.0839584,1.89113445,-20.1950167,37.5915717,70.978315,22.8171605,-4.06226696,21.3675621,-12.6628369,6.84765012,-3.83878701,13.2650905,-3.89109986,-6.03928229,-10.0318386,-2.8649999,-12.7167629,13.4885171,-5.49955519,2.07580719
1,-1.33572686,0.217988808,105.944335,-1.05251081,2.78516634,-0.194038223,-1.61326518,3.1860427,1.20330015,0,0,-0.509773783,14.7322621,-27.287258,71.703039,-13.9077174,-5.29534577,-19.0616971,1.87763565,-20.2134633,37.6208629,70.9844758,22.9998988,-4.04838503,21.3636621,-12.6552639,6.84553789,-3.81315246,13.2639499,-3.88888261,-6.03755511,-10.0344358,-2.86883825,-12.6955595,13.4785485,-5.49817464,2.09171491
2,-1.32914176,0.230055908,105.945122,-1.06227777,2.78873535,-0.224112445,-1.59358238,3.19465087,1.2080515,0,0,-0.507835717,14.7411516,-27.2683162,71.6958605,-13.90062,-5.29650306,-19.0875766,1.84798687,-20.2021867,37.6520701,71.0068447,23.080565,-4.12465348,21.2399998,-12.6412253,6.85618444,-3.78017076,13.244448,-3.89046764,-6.02876892,-10.0397548,-2.86085184,-12.6780682,13.4786338,-5.4758109,2.11838701
3,-1.31983142,0.238096691,105.945373,-1.06122228,2.80083844,-0.25883058,-1.55337199,3.18226112,1.18174129,0,0,-0.499429889,14.7590723,-27.3133903,71.6975681,-13.9256492,-5.28839179,-19.051643,1.86079945,-20.1751169,37.5982072,71.0112502,23.0855203,-4.19203629,21.0930483,-12.630665,6.85475949,-3.74599804,13.2233282,-3.87896816,-6.02240532,-10.0349669,-2.85711295,-12.654633,13.4344989,-5.46522069,2.0886695
4,-1.30924731,0.250901026,105.946898,-1.0743452,2.8123951,-0.294801403,-1.50715979,3.1860602,1.16104998,0,0,-0.472961198,14.7544859,-27.2711558,71.6996035,-13.8867504,-5.30007739,-19.0147054,1.86515028,-20.1529496,37.5441941,71.0382362,23.0816869,-4.23949201,21.0165775,-12.6151118,6.86904227,-3.70942323,13.1955097,-3.88366947,-6.05115658,-10.0317908,-2.84075252,-12.6369582,13.3984747,-5.44129923,2.07297244
5,-1.29831685,0.26156453,105.950403,-1.07681092,2.82519534,-0.340651429,-1.46766358,3.17660359,1.14342681,0,0,-0.470159913,14.7645706,-27.2388303,71.7065361,-13.7963879,-5.30253156,-19.0606264,1.8537524,-20.1565166,37.525978,71.0396637,23.1140227,-4.18819687,20.9685766,-12.5949807,6.87332864,-3.65710014,13.166688,-3.89082494,-6.03332167,-10.0362851,-2.83656177,-12.5876322,13.3736333,-5.41861361,2.09211789
6,-1.2829965,0.265275035,105.960107,-1.04115054,2.83880948,-0.364333834,-1.45965038,3.13453069,1.11416276,0,0,-0.453754013,14.7944869,-27.2876405,71.6927255,-13.8745739,-5.30962471,-19.0993741,1.83604919,-20.1593187,37.5755754,71.0740606,23.200831,-4.18068067,20.9778947,-12.6095725,6.82894394,-3.61882333,13.1990477,-3.86325659,-6.0157429,-10.0128447,-2.87129179,-12.5698251,13.2998622,-5.4040064,2.10973466
7,-1.27320345,0.274751359,105.966306,-1.04672342,2.8466802,-0.409750178,-1.42652225,3.13644613,1.10779841,0,0,-0.452827081,14.7892908,-27.2920545,71.6996444,-13.8993342,-5.31302401,-19.0737728,1.82374866,-20.1631675,37.5356734,71.1040041,23.2064283,-4.14793247,20.9608073,-12.5864694,6.83617071,-3.56602682,13.1714785,-3.85600549,-6.01271371,-10.0246319,-2.86549829,-12.5287637,13.296687,-5.37990266,2.13385056
8,-1.25840195,0.285685901,105.965829,-1.0490344,2.86371996,-0.438751574,-1.39456327,3.09550171,1.08662205,0,0,-0.445309151,14.8290288,-27.300845,71.693989,-13.9393489,-5.33109285,-19.0834768,1.81973998,-20.1005825,37.4291225,71.1648475,23.1610639,-4.15344572,20.9626873,-12.5709034,6.83569943,-3.52618313,13.1392571,-3.8522348,-6.01632261,-10.0102441,-2.85666899,-12.5299556,13.2337844,-5.36012841,2.09598762
9,-1.24693345,0.300628343,105.965304,-1.05916499,2.87042407,-0.473714719,-1.38543354,3.11910257,1.08133858,0,0,-0.415548816,14.7862514,-27.1723401,71.6929167,-13.8587697,-5.36708368,-19.0889666,1.80706315,-20.1086114,37.3951457,71.2040049,23.2367117,-4.16870778,20.8543366,-12.5474477,6.84522412,-3.47765549,13.1107334,-3.85888186,-6.03208626,-10.0240847,-2.85231005,-12.488148,13.2471007,-5.3494588,2.13099085
