Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.06451418,0.198348123,106.195223,-0.45239959,3.84949813,-0.0458538557,-0.690266975,2.58166274,-0.0407272941,0,0,-0.0136698182,14.1266224,-22.2246825,73.6319733,-8.69139181,-4.37423073,-14.0407789,-0.948160351,-19.9316292,31.069506,73.9537571,14.3776165,-1.77704084,16.6958698,-10.0943101,5.88325644,2.81228898,11.1860911,-4.53357008,-5.00430629,-9.7956635,-3.60291796,-9.12976189,11.4862062,-4.84515178,2.99090633
1,-1.04608452,0.209745672,106.200707,-0.469134467,3.85333439,-0.0869463186,-0.676617802,2.59298676,-0.0439371795,0,0,0.00151382718,14.1496461,-22.3420559,73.6580987,-8.90879759,-4.45059737,-14.1758305,-0.950568312,-19.9196525,31.0807519,73.9964868,14.7061674,-1.86964369,16.966318,-10.079615,5.90283219,2.8531984,11.1911036,-4.5557127,-4.96667579,-9.80296839,-3.58868555,-9.08085859,11.4969723,-4.82335836,3.0210106
2,-1.02324588,0.216892548,106.200516,-0.470728332,3.85982891,-0.122749419,-0.660061424,2.6000972,-0.0676066198,0,0,0.00927682346,14.1687032,-22.4933566,73.6912047,-9.11402855,-4.42535,-14.2563567,-0.937476441,-19.9246778,31.0835899,74.0333561,14.7615841,-1.85575002,17.1109319,-10.0687464,5.90526032,2.88202906,11.2034628,-4.58461422,-4.99204183,-9.80279849,-3.58771993,-9.04458602,11.4937049,-4.82389794,2.99927566
3,-1.00228461,0.223301235,106.206143,-0.462654805,3.86544793,-0.152212566,-0.654481159,2.60541237,-0.0798996263,0,0,0.00418018666,14.1690217,-22.6058566,73.7382851,-9.2926619,-4.43157486,-14.3262945,-0.938637786,-19.9317266,31.1628849,74.0625825,14.9538625,-1.83317496,17.1969,-10.0596478,5.89416511,2.91562868,11.2183082,-4.5951135,-4.99517859,-9.80421319,-3.59907598,-9.00665798,11.4913929,-4.81611579,2.99531372
4,-0.981019624,0.229726173,106.207502,-0.467139285,3.86989814,-0.17429822,-0.648033567,2.62579515,-0.0945133096,0,0,0.0372778085,14.1449154,-22.5770964,73.7509961,-9.39224435,-4.41675719,-14.4554055,-0.945721119,-19.9653003,31.195301,74.1105236,15.0271333,-1.86709432,17.3532875,-10.0514899,5.90281426,2.92566906,11.2305035,-4.61811117,-4.96136318,-9.80277373,-3.59518874,-8.98447438,11.4941002,-4.804227,3.00711266
5,-0.960242469,0.230450253,106.209254,-0.462824535,3.87406718,-0.181556255,-0.642757727,2.62127677,-0.102731568,0,0,0.0344297096,14.1282659,-22.580368,73.8050639,-9.53721768,-4.41407208,-14.6001099,-0.9426851,-19.9786739,31.2133635,74.1248875,15.2190258,-1.86153263,17.4981541,-10.0472125,5.89961986,2.926932,11.2432384,-4.62799317,-4.99082392,-9.79679048,-3.60011929,-8.98313054,11.4952417,-4.81521848,3.00237784
6,-0.94041042,0.237149396,106.211019,-0.472644284,3.87914175,-0.202397104,-0.620238006,2.64244267,-0.117960475,0,0,0.062411027,14.1012824,-22.5504228,73.8197966,-9.61763633,-4.44338554,-14.679907,-0.930361304,-20.006261,31.2145246,74.1466143,15.1489873,-1.86074395,17.5134537,-10.0354083,5.90788269,2.97398219,11.2454582,-4.6564106,-5.01737031,-9.78787452,-3.58883325,-8.94159701,11.4858894,-4.80656719,3.00372488
7,-0.922665466,0.235344493,106.211984,-0.455861294,3.88013954,-0.196683399,-0.619744525,2.61400133,-0.124534025,0,0,0.0763735278,14.0784773,-22.5055706,73.8502729,-9.67944698,-4.49359085,-14.7738614,-0.919477505,-20.0180892,31.182993,74.1639084,15.0217375,-1.87273862,17.5499628,-10.0262276,5.89146462,2.96394074,11.2480324,-4.64794373,-4.97551064,-9.78928325,-3.61019851,-8.96912097,11.5082668,-4.82077868,3.02072096
8,-0.902793091,0.238014921,106.208837,-0.452318299,3.88818694,-0.204041282,-0.618059282,2.6304352,-0.139904752,0,0,0.0922122229,14.0350996,-22.4633259,73.879151,-9.753943,-4.52669208,-14.8624848,-0.899591409,-20.037644,31.1803258,74.1795495,14.9795525,-1.93065371,17.5309885,-10.0128456,5.88334054,2.97631469,11.2356415,-4.65808101,-4.9840202,-9.78752704,-3.61855226,-8.94833328,11.5064944,-4.82225613,3.03884977
9,-0.885401107,0.237699156,106.209409,-0.459247137,3.89393905,-0.202798239,-0.596723586,2.64131697,-0.145515166,0,0,0.0801774229,14.0035194,-22.5070477,73.9188412,-9.92869339,-4.57104861,-14.942007,-0.877682937,-20.0700498,31.145287,74.1809156,14.9659946,-1.94237261,17.5682933,-10.0155444,5.89081532,2.97518473,11.2482569,-4.66885094,-5.01082314,-9.77265089,-3.60970887,-8.93874968,11.488905,-4.81257135,3.02633687
10,-0.866079144,0.243218057,106.214249,-0.455258162,3.89747524,-0.199493766,-0.580008619,2.65043548,-0.157713057,0,0,0.0868541596,13.9914043,-22.594901,73.9242439,-10.0690819,-4.61288992,-14.9891575,-0.873750936,-20.1003076,31.225067,74.2120339,15.0729707,-1.99251943,17.5516259,-10.0106326,5.88485001,2.97198798,11.2591451,-4.67606917,-5.01241159,-9.77093736,-3.62093045,-8.94503857,11.5012044,-4.817475,3.04808333
11,-0.851158146,0.244435598,106.212723,-0.449234559,3.90362454,-0.19152505,-0.560392529,2.6462791,-0.16613568,0,0,0.079955902,13.9666978,-22.6176097,73.9545699,-10.1360468,-4.66961464,-15.0398255,-0.879877028,-20.1195977,31.3367747,74.2518881,15.2324693,-2.03394965,17.6036463,-10.0053845,5.8753283,2.96836222,11.2555908,-4.67955299,-5.01319279,-9.76604182,-3.6306609,-8.93282192,11.5037572,-4.83069697,3.05015566
12,-0.83384309,0.244586612,106.211662,-0.461512588,3.91062942,-0.180505729,-0.552235842,2.64942953,-0.186186408,0,0,0.0790842658,13.9541286,-22.6469487,74.009471,-10.2056763,-4.76711132,-15.1071763,-0.860020388,-20.1382032,31.3712877,74.2450237,15.3464191,-2.02187025,17.6309073,-10.0033627,5.8880952,2.96191089,11.2557018,-4.69023498,-5.0720989,-9.7553799,-3.61592947,-8.94943721,11.4968886,-4.82408449,3.02613153
13,-0.812488981,0.243271957,106.210732,-0.464213141,3.91571171,-0.16174961,-0.552856802,2.65132789,-0.210379405,0,0,0.126620621,13.9497265,-22.6290485,73.9564619,-10.2535218,-4.74109043,-15.1580254,-0.835466125,-20.1641579,31.4116985,74.2198681,15.4401566,-1.97725652,17.6862728,-9.99718994,5.89064884,2.95089102,11.2457699,-4.7015001,-5.03514118,-9.74860521,-3.6151948,-8.95396392,11.5068701,-4.83166173,3.02763183
14,-0.794083811,0.248994702,106.21053,-0.479195678,3.91992996,-0.148430928,-0.542568083,2.67444125,-0.227917596,0,0,0.135168176,13.9092892,-22.5721121,74.0021149,-10.3062825,-4.82369688,-15.274644,-0.800868335,-20.207854,31.3867341,74.1877253,15.5383611,-1.96225807,17.841103,-9.98961526,5.90203391,2.95581346,11.2400957,-4.72900356,-5.03821263,-9.74559138,-3.60641715,-8.96123295,11.5211972,-4.83267601,3.02563293
