Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.45522077,0.214497792,106.030488,-1.06480971,2.25582875,0.000781174595,-0.494635576,3.94631127,-0.0665096341,0,0,-0.925978244,12.7631613,-16.3652425,71.4332944,-3.73795592,-5.84109667,-13.984785,-5.80467084,-22.4401443,37.732055,68.2181809,4.24898128,-2.91687903,19.8857457,-12.5623469,6.25826456,1.54557896,14.8679985,-4.3652883,-4.55548901,-10.1668706,-1.55061196,-7.63640677,12.8154942,-4.58792728,1.35736926
1,-1.45403231,0.218137633,106.031466,-1.06790311,2.25567024,-0.000465475309,-0.495278148,3.94564788,-0.0601576182,0,0,-0.929224932,12.7690762,-16.3807351,71.4193949,-3.76172797,-5.81765162,-13.9830211,-5.77766385,-22.3997078,37.5758657,68.2418612,4.11805936,-2.96671209,19.9380274,-12.5626355,6.2602133,1.5491154,14.8701688,-4.36724046,-4.55394966,-10.1677696,-1.54993897,-7.63161625,12.8189494,-4.58434186,1.36228699
2,-1.44843124,0.219132146,106.032026,-1.0625055,2.25801364,-0.00115147708,-0.5016362,3.93775304,-0.0692674964,0,0,-0.901933737,12.7769292,-16.4005495,71.3957693,-3.80702493,-5.81634321,-13.9412844,-5.76980145,-22.3947525,37.5668498,68.2351198,4.14436669,-2.9719692,19.9185801,-12.5614069,6.25228686,1.5518717,14.8744189,-4.37021885,-4.5701863,-10.1653518,-1.55796935,-7.62815334,12.8180222,-4.58404133,1.38500068
3,-1.44389998,0.217767712,106.025898,-1.05468611,2.26048284,-0.00199365062,-0.503868551,3.91592973,-0.0689613585,0,0,-0.908735005,12.7962715,-16.4234699,71.3974495,-3.8640792,-5.82017153,-13.9595355,-5.76671975,-22.3586003,37.5280475,68.2587112,4.10051346,-2.99041605,19.8778176,-12.5627695,6.2432723,1.55985737,14.8805387,-4.37998431,-4.56747471,-10.1627623,-1.56627678,-7.63500061,12.8128705,-4.59685392,1.3983712
4,-1.44315129,0.220797444,106.026232,-1.05197086,2.25996537,-0.0101171495,-0.497733494,3.91401514,-0.0695473674,0,0,-0.904667093,12.8200269,-16.4679327,71.3831266,-3.90989227,-5.78502338,-13.9676566,-5.76803414,-22.3629051,37.5307352,68.2558016,4.08561596,-2.99128839,19.9067776,-12.5660736,6.23874815,1.56514607,14.8924113,-4.381656,-4.56463292,-10.1636195,-1.57121757,-7.631571,12.8108001,-4.58881009,1.40231179
5,-1.43490443,0.224111881,106.026304,-1.04646207,2.26361149,-0.0158049673,-0.484125089,3.90958534,-0.0721084148,0,0,-0.910850869,12.8188589,-16.4938516,71.3855309,-3.91109567,-5.76218963,-13.9583624,-5.76098239,-22.3602669,37.5351372,68.2498457,4.09381817,-2.98625988,19.884868,-12.5644916,6.23227953,1.56809212,14.8954046,-4.3752591,-4.5720885,-10.1592737,-1.57891413,-7.61631406,12.8046188,-4.59449622,1.39284846
6,-1.42904921,0.225700205,106.024444,-1.04631051,2.26539853,-0.0106490151,-0.484638314,3.89602656,-0.0773234377,0,0,-0.915838295,12.8138934,-16.4854931,71.4083164,-3.91232126,-5.7804749,-13.9552965,-5.73834117,-22.3331101,37.4806323,68.2467857,4.06129024,-2.99636664,19.8345603,-12.5618389,6.22856989,1.57061449,14.8905603,-4.37768809,-4.56307436,-10.1584738,-1.58083597,-7.62600951,12.8090866,-4.60532762,1.3986681
7,-1.42949596,0.227492023,106.021023,-1.04115627,2.26682956,-0.0147020777,-0.49249714,3.89976139,-0.0848117196,0,0,-0.908712486,12.8615049,-16.6313296,71.3835433,-4.05882583,-5.7404073,-13.9455533,-5.73210094,-22.3370135,37.4902834,68.2401946,4.0936107,-3.00002228,19.8091947,-12.5653351,6.22080353,1.57651726,14.9007219,-4.38596798,-4.58867306,-10.1546284,-1.58755474,-7.62785537,12.7985972,-4.60894975,1.40501047
8,-1.42140053,0.233212276,106.021893,-1.04834375,2.26834142,-0.0169258368,-0.491143162,3.90357947,-0.0828014362,0,0,-0.903145135,12.8519811,-16.6402038,71.3777035,-4.07709914,-5.75087926,-13.9101191,-5.72833323,-22.3335694,37.4654181,68.2289658,4.11422293,-2.98100768,19.8043811,-12.5602688,6.22617164,1.58614516,14.899349,-4.39623931,-4.58874221,-10.1540751,-1.58340615,-7.63159661,12.805032,-4.59986133,1.42722171
9,-1.41838565,0.235708104,106.023824,-1.04398861,2.26999198,-0.0235648502,-0.486352264,3.8969354,-0.078043349,0,0,-0.894551583,12.8653597,-16.6623199,71.3542827,-4.08450093,-5.72311241,-13.8980407,-5.72047211,-22.3243794,37.4590694,68.214677,4.14632055,-2.94906758,19.7567149,-12.5623247,6.22174098,1.58757619,14.909205,-4.40202917,-4.58253186,-10.1517904,-1.58905312,-7.61984954,12.798697,-4.60266641,1.42329819
10,-1.41107161,0.239050156,106.026673,-1.05092422,2.27172693,-0.0241365279,-0.496565425,3.89370728,-0.0844021617,0,0,-0.88571636,12.8963312,-16.730492,71.3410732,-4.14629152,-5.70695005,-13.905332,-5.70768045,-22.3025552,37.4176682,68.2120815,4.04031772,-2.93025788,19.7966801,-12.5577544,6.22811696,1.58791407,14.9023373,-4.40775458,-4.57799491,-10.1539923,-1.58283167,-7.62003651,12.8080484,-4.60316074,1.42872051
11,-1.40531054,0.243124226,106.029248,-1.05713194,2.27315199,-0.0283251712,-0.493500271,3.89945745,-0.0812296389,0,0,-0.877826051,12.8886822,-16.6983526,71.3264702,-4.07784449,-5.69578781,-13.8570434,-5.69996917,-22.2913605,37.3531776,68.2234128,3.97307835,-2.95744822,19.837639,-12.5537485,6.23304494,1.58819582,14.9025319,-4.41142623,-4.58830636,-10.1554061,-1.57961539,-7.62053512,12.813417,-4.5945991,1.44558243
12,-1.39914714,0.248884223,106.028116,-1.06274503,2.27489742,-0.0373765066,-0.484882066,3.89777808,-0.0776977174,0,0,-0.885458734,12.899228,-16.7215616,71.3375078,-4.12892449,-5.73149006,-13.8898573,-5.71052394,-22.2995568,37.4368542,68.1904503,4.03665759,-2.9091225,19.810057,-12.5520461,6.23916223,1.60056433,14.9074838,-4.42822167,-4.5764944,-10.1521131,-1.57392659,-7.61541845,12.8076685,-4.59409452,1.40960932
13,-1.39340349,0.254492532,106.029415,-1.06216395,2.27571139,-0.0431607125,-0.487858374,3.90375962,-0.0795023014,0,0,-0.875636815,12.9047024,-16.7413503,71.3183901,-4.15666231,-5.7255145,-13.8780548,-5.72667435,-22.3060011,37.4718897,68.1998965,4.09294049,-2.90784696,19.8487415,-12.5517456,6.2369898,1.61483046,14.9136532,-4.42838943,-4.58038974,-10.1529609,-1.57681192,-7.61390386,12.81055,-4.5877719,1.42944867
14,-1.38539281,0.258047273,106.032348,-1.06764345,2.27679771,-0.0535465022,-0.479935462,3.89587075,-0.0832002552,0,0,-0.859495317,12.8841658,-16.6362337,71.3223721,-4.04611058,-5.73315962,-13.8496104,-5.72147402,-22.2656073,37.4502721,68.2387466,4.04520088,-2.92755952,19.8675603,-12.5488205,6.24346525,1.61537047,14.9209546,-4.44277125,-4.57444535,-10.1524581,-1.57229727,-7.59786999,12.813323,-4.58339588,1.4258578
15,-1.38287842,0.265426072,106.032956,-1.07526417,2.27570849,-0.0567927417,-0.462042607,3.91284889,-0.0733031777,0,0,-0.868803531,12.8700025,-16.64304,71.3185404,-4.06092953,-5.71982154,-13.8504437,-5.71913638,-22.2499816,37.3760143,68.2741475,3.99660408,-2.95210658,19.8664231,-12.5489247,6.24935842,1.61826647,14.9270694,-4.45349379,-4.55925671,-10.1567244,-1.56845668,-7.59661153,12.8243162,-4.58467526,1.42918549
16,-1.37555776,0.266016577,106.034863,-1.06877823,2.27793255,-0.0561801937,-0.475594503,3.90045722,-0.0769554412,0,0,-0.858723879,12.8639783,-16.5862794,71.3255618,-4.03207454,-5.7235696,-13.8614787,-5.71184687,-22.234448,37.3645567,68.2817563,4.03567704,-2.978336,19.8701114,-12.5495753,6.24101577,1.61424477,14.9350419,-4.45151261,-4.5584405,-10.1538745,-1.57745407,-7.59231961,12.8221007,-4.59465502,1.42569463
