Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-1.00720143,-0.150058512,106.191266,0.032112028,3.65310974,-0.0102064998,0.0103237009,0.949600667,-1.04171484,0,0,-0.758399019,15.8858025,-30.9685797,63.1044251,-7.6003169,-2.58828034,-19.4719643,-1.73512429,-19.320884,40.2701806,68.8165396,19.7964393,-3.39972645,21.0263344,-11.1393589,1.983272,0.119263507,12.5276478,-5.16520676,-1.84748784,-11.0140378,-2.98974306,-8.04701298,13.6756634,-6.01189025,1.74146537
1,-0.995514076,-0.140616961,106.186175,0.0232505425,3.65648416,0.0100015732,-0.00746677414,0.991820947,-1.05744348,0,0,-0.69582803,15.8313147,-30.9517296,63.1690045,-7.86381621,-2.64440891,-19.4810194,-1.62644296,-19.3497552,40.2293873,68.8712358,19.9830281,-3.32480098,20.930109,-11.1315119,1.98307008,0.130000738,12.5152638,-5.18253026,-1.81574517,-11.0087947,-2.98844191,-8.06680943,13.6864458,-6.02626224,1.76026387
2,-0.985569321,-0.13573902,106.182683,0.0140109911,3.6552261,0.0218321845,-0.0127673119,1.02596528,-1.07677612,0,0,-0.630906922,15.7918123,-30.9650895,63.253774,-8.29786193,-2.63820347,-19.5226887,-1.48786525,-19.357697,40.0839214,68.9109123,20.0140986,-3.13596482,21.0025943,-11.1297053,1.98800788,0.120925191,12.5294689,-5.2016074,-1.81516546,-11.0015283,-2.98431925,-8.08802059,13.6987896,-6.02779391,1.76826885
3,-0.981148425,-0.135594804,106.176794,0.0294115858,3.65476164,0.0371558126,-0.0250936181,1.03027246,-1.07988556,0,0,-0.583078842,15.7552896,-30.9359724,63.3603181,-8.73389523,-2.67348332,-19.640571,-1.40341039,-19.3555813,40.065432,68.9897464,20.3319961,-3.20775566,20.7818409,-11.1385086,1.96449816,0.112977732,12.5553408,-5.21488614,-1.80365915,-10.9947937,-3.00893312,-8.08399248,13.6960242,-6.05595052,1.80595175
4,-0.972824451,-0.130923721,106.180108,0.0324855644,3.65666434,0.0429422236,-0.0205027238,1.05209107,-1.09239719,0,0,-0.538664363,15.6525925,-30.8085279,63.5328146,-8.95181668,-2.76645628,-19.772812,-1.31321966,-19.3527929,40.0627649,69.0855466,20.6108096,-3.11861614,20.6039333,-11.1370085,1.95831641,0.102904224,12.5507808,-5.19244556,-1.79296607,-10.9945914,-3.01740084,-8.08815804,13.7016916,-6.0466542,1.79028233
5,-0.965615362,-0.12957874,106.179714,0.0424174322,3.65839499,0.0518304902,-0.0239316205,1.05892788,-1.10021157,0,0,-0.461617962,15.5822809,-30.6822138,63.6195921,-9.2364281,-2.78967956,-19.9608607,-1.17058653,-19.3021402,39.9344871,69.1548252,20.9732775,-3.14860643,20.5410136,-11.1390618,1.94369703,0.099452677,12.557418,-5.18072837,-1.7752651,-10.9891579,-3.032277,-8.08769871,13.6938078,-6.04930858,1.77716111
6,-0.958387461,-0.121067523,106.176889,0.0277146649,3.66074199,0.0543834545,-0.0297371862,1.09731365,-1.11309277,0,0,-0.404125404,15.5305968,-30.707728,63.7275296,-9.68222772,-2.84725037,-19.9656265,-1.0312115,-19.2191517,39.9144951,69.256636,21.8927763,-3.39563047,20.654656,-11.137683,1.95636938,0.103757137,12.5579704,-5.20067465,-1.79732116,-10.9830432,-3.01728089,-8.09123846,13.6898139,-6.05146991,1.76567626
7,-0.954824314,-0.111942424,106.176078,0.0241232655,3.657077,0.0514253525,-0.0164075501,1.12227628,-1.11245628,0,0,-0.361912194,15.5032402,-30.7435045,63.8072789,-10.1201965,-2.87976634,-20.0100552,-0.934551519,-19.2121388,39.8413165,69.3558445,22.2235675,-3.29632891,20.6706318,-11.1296823,1.95352503,0.116540263,12.5567905,-5.21999683,-1.78442321,-10.9918072,-3.02221463,-8.09428985,13.7218944,-6.07126124,1.79248496
8,-0.951122865,-0.112259598,106.183326,0.0410474543,3.6573952,0.0519941641,-0.0134288248,1.12604046,-1.11689409,0,0,-0.263361902,15.4360585,-30.5845318,63.8840775,-10.4208555,-2.7924349,-20.1719136,-0.815726238,-19.185332,39.7320847,69.4185388,22.5626779,-3.21207981,20.7798209,-11.1418238,1.93210598,0.112532783,12.5897445,-5.21632091,-1.78059243,-10.9860622,-3.04425928,-8.08529278,13.7138049,-6.07441807,1.81906571
9,-0.946539082,-0.109509937,106.18726,0.0432069946,3.65840086,0.0511718539,-0.0211850107,1.13469783,-1.1278336,0,0,-0.232886772,15.4240066,-30.5948215,64.0167608,-10.7502115,-2.88501385,-20.3351244,-0.723827109,-19.1421669,39.7093538,69.5082329,22.7891464,-3.21181428,20.6714309,-11.1414131,1.92956259,0.106306212,12.593443,-5.2155316,-1.80535219,-10.9837254,-3.04845131,-8.07351583,13.7088804,-6.06684296,1.80281114
