Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.529698143,-0.120510708,106.406796,-0.0314389443,5.52027042,-0.0451798983,0.268533876,1.36784559,-2.81211631,0,0,-0.221175573,14.751011,-25.7212118,64.5940074,-2.53329283,-4.45140119,-13.3156852,-1.29092486,-19.5153924,35.7564638,70.4142302,9.67851295,-3.66565068,19.9246129,-11.6938286,2.36853501,1.04445535,7.74113918,-1.68121328,-2.16104987,-11.5781081,-1.93631423,-11.4554626,9.68274254,-3.47642307,0.774378193
1,-0.5265221,-0.123193092,106.40583,-0.0376951443,5.52420468,-0.0526490406,0.299233522,1.36084006,-2.81768184,0,0,-0.223302616,14.7945483,-25.8031945,64.5779155,-2.62788476,-4.46304667,-13.3371354,-1.2631833,-19.5083009,35.7175693,70.3977557,9.67840196,-3.68739416,19.9217545,-11.6950512,2.37646272,1.06023266,7.74368684,-1.67791025,-2.18993901,-11.5644451,-1.9214257,-11.4391026,9.64948123,-3.45739224,0.743650613
2,-0.526775746,-0.12633648,106.406057,-0.037349749,5.52283965,-0.0460883852,0.290831029,1.36914386,-2.81059552,0,0,-0.21680828,14.7505858,-25.7293602,64.6034126,-2.49940015,-4.43991154,-13.3431434,-1.27782605,-19.5149023,35.7475504,70.4225425,9.71711718,-3.71952892,19.9340915,-11.6960697,2.37823409,1.05584607,7.7443101,-1.70771879,-2.18544837,-11.5712267,-1.92282397,-11.4630092,9.67297367,-3.497907,0.702740661
3,-0.52598645,-0.13394769,106.412244,-0.0366062131,5.52503077,-0.0427629313,0.306443748,1.35469801,-2.80822032,0,0,-0.210688778,14.723972,-25.6669169,64.6281857,-2.40977932,-4.43984494,-13.3642102,-1.26671472,-19.4905322,35.7372436,70.4215589,9.63030974,-3.65602823,19.8769638,-11.707623,2.38081782,1.06468135,7.76343548,-1.70831804,-2.17267933,-11.5579505,-1.92019691,-11.4523191,9.64243931,-3.47969964,0.740029225
4,-0.522422604,-0.13376252,106.413233,-0.0428938147,5.5214636,-0.0338140046,0.30120067,1.36093152,-2.80358711,0,0,-0.232544649,14.7937321,-25.8292466,64.6029071,-2.61542884,-4.44310721,-13.3450934,-1.25304313,-19.4964488,35.6880389,70.401526,9.59625357,-3.67538669,19.904247,-11.6990152,2.38998201,1.04778933,7.75066644,-1.69985853,-2.18032466,-11.5699127,-1.91548322,-11.4717048,9.68370731,-3.4896111,0.704485988
5,-0.518640736,-0.133437105,106.405771,-0.0370737644,5.5203825,-0.0315594361,0.303245458,1.35658037,-2.80380418,0,0,-0.225599948,14.8508974,-25.9454469,64.5497204,-2.79262145,-4.43293023,-13.3458575,-1.25436477,-19.4969389,35.6804608,70.4141414,9.5907066,-3.71086867,19.9164013,-11.6970277,2.37992627,1.05805841,7.75657883,-1.69671515,-2.16711636,-11.5670944,-1.92305854,-11.4711499,9.68192975,-3.47716137,0.754693962
6,-0.514557818,-0.136839435,106.399572,-0.0400493676,5.5213071,-0.025774378,0.28946974,1.3691825,-2.80407568,0,0,-0.210919123,14.8090078,-25.8900848,64.5603141,-2.70540229,-4.42086043,-13.3164681,-1.25733174,-19.4976407,35.7119753,70.4229318,9.63415941,-3.70197235,19.9013117,-11.6972249,2.38521945,1.0459026,7.76081525,-1.70093129,-2.19870534,-11.5643862,-1.91831455,-11.4665566,9.68627119,-3.4852799,0.752212095
7,-0.514615234,-0.14603216,106.403553,-0.0321834158,5.52276242,-0.0208104712,0.296937005,1.35204086,-2.8012277,0,0,-0.176155208,14.7768906,-25.7850774,64.5574932,-2.57227763,-4.38598463,-13.3223079,-1.27185113,-19.4735301,35.7530828,70.4528685,9.63274727,-3.66919427,19.8569104,-11.7025029,2.38172816,1.04124366,7.76641857,-1.69894734,-2.20643327,-11.5595496,-1.92346259,-11.471167,9.67744744,-3.49251627,0.763761465
8,-0.511621591,-0.149289914,106.409729,-0.0196871376,5.51886894,-0.0131388712,0.296078615,1.34092269,-2.79844611,0,0,-0.167167306,14.8078416,-25.8567893,64.530876,-2.67933017,-4.42942421,-13.3020675,-1.24363295,-19.4791309,35.6963035,70.4366605,9.59959865,-3.70556887,19.8855698,-11.7049899,2.36830363,1.04582875,7.78169087,-1.7162671,-2.19032235,-11.5662731,-1.93940404,-11.5043822,9.70830794,-3.53560836,0.742408586
9,-0.507538486,-0.1490989,106.414449,-0.0254275612,5.52782686,-0.0196906078,0.30971226,1.35333934,-2.81394658,0,0,-0.167302882,14.828129,-25.9367213,64.5217235,-2.80912703,-4.42500166,-13.2643179,-1.20239877,-19.4943469,35.6078423,70.4056992,9.51905279,-3.72066828,19.9007243,-11.7049234,2.37739376,1.04412419,7.7689594,-1.69702613,-2.1778675,-11.5466738,-1.92272749,-11.4860431,9.65289462,-3.50697706,0.721354261
