Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.349232508,-0.162557699,106.251466,-0.129465961,6.12201849,-0.064586557,1.56579451,1.45505921,-3.88676995,0,0,1.88022878,15.6301759,-23.3700165,63.8122581,-2.32005283,-3.81637332,-14.5283605,1.2134957,-23.9511836,35.8791135,65.7035443,5.64200263,-3.80132556,18.0240513,-13.1058865,4.23340802,0.538198469,8.17257747,-1.29143947,-3.91611799,-11.9837957,-4.35532647,-10.0543953,8.69041766,-2.26674577,3.41707043
1,-0.343424408,-0.163481652,106.249869,-0.122764011,6.13041875,-0.0826864287,1.58652851,1.44606246,-3.87975363,0,0,1.87252325,15.6424412,-23.4207511,63.7929423,-2.3564317,-3.79508704,-14.4819818,1.19241848,-23.9754939,35.9040607,65.6951022,5.69051405,-3.76686213,17.9900148,-13.1028974,4.22772958,0.536223584,8.16409609,-1.28666463,-3.89951978,-11.9884368,-4.35857423,-10.0395431,8.6777357,-2.26514473,3.43659132
2,-0.339369127,-0.166940468,106.253541,-0.113301651,6.13671897,-0.0914606787,1.571064,1.43989032,-3.86896578,0,0,1.86370996,15.6288303,-23.377475,63.7978122,-2.30777514,-3.8113749,-14.5221518,1.20610447,-23.9760369,35.8695615,65.6800963,5.69510735,-3.80913503,17.9795236,-13.102497,4.21971307,0.528293681,8.15922958,-1.26061344,-3.908983,-11.9876607,-4.36472737,-10.0369135,8.66337865,-2.26466277,3.43172225
3,-0.334856147,-0.165774103,106.252933,-0.114158494,6.14265288,-0.109136756,1.59628042,1.42914345,-3.85798241,0,0,1.83595613,15.6465478,-23.4681168,63.8076341,-2.40964037,-3.83234273,-14.4500353,1.21994564,-23.9794281,35.8118703,65.670978,5.73268919,-3.88128744,17.9593848,-13.0968476,4.2207615,0.531398109,8.14996443,-1.26620085,-3.88753023,-11.987163,-4.36130588,-10.0282033,8.6504602,-2.26031109,3.44397156
4,-0.330149662,-0.163480744,106.257463,-0.108393762,6.14699503,-0.129722665,1.60358658,1.43057501,-3.85110483,0,0,1.80762408,15.6468603,-23.4977478,63.8331516,-2.36773545,-3.8465205,-14.4470266,1.24291834,-23.9871719,35.7203082,65.6555212,5.79768996,-3.92748001,18.0322219,-13.0936775,4.21448669,0.536440229,8.1443483,-1.26472927,-3.84751728,-11.9993737,-4.36631241,-10.0181236,8.65945983,-2.26260816,3.43308957
5,-0.325725321,-0.159094366,106.266761,-0.115923207,6.1547796,-0.147546819,1.61787043,1.4386896,-3.84620588,0,0,1.80548217,15.6206375,-23.4538792,63.8147101,-2.29530151,-3.77490425,-14.4165708,1.24737322,-23.9832428,35.7037176,65.6750419,5.87823838,-3.98254798,18.0932462,-13.1047578,4.2250308,0.507750607,8.15085235,-1.25478579,-3.81444849,-12.004387,-4.35761459,-9.99126134,8.64137178,-2.20217615,3.42503358
6,-0.31938348,-0.157454505,106.258464,-0.112226697,6.15896004,-0.162961848,1.61727855,1.44335782,-3.83434355,0,0,1.81495223,15.5570194,-23.3440771,63.8394422,-2.18330092,-3.8511266,-14.4499414,1.25734487,-23.9777223,35.6634878,65.6851096,5.84501037,-3.97113474,18.0695165,-13.1040748,4.21886356,0.529030381,8.15449455,-1.27481308,-3.80250676,-12.0046884,-4.36331438,-9.9699187,8.63428119,-2.23014321,3.42422441
7,-0.314841908,-0.154869049,106.253135,-0.0981965493,6.16325497,-0.189813975,1.62886533,1.43512787,-3.83142791,0,0,1.80762536,15.5610988,-23.3515271,63.8353851,-2.21156147,-3.83213782,-14.4956575,1.26095815,-23.9958565,35.6430621,65.6968234,5.86196589,-3.99979208,18.094042,-13.1004275,4.20243696,0.550205088,8.16545956,-1.27862379,-3.80892287,-12.0044733,-4.37800014,-9.95842947,8.62235909,-2.25119599,3.43732408
8,-0.312541239,-0.14444004,106.253648,-0.092271422,6.1642864,-0.219711556,1.63879407,1.44953017,-3.82207909,0,0,1.79836405,15.5421518,-23.3403222,63.8377689,-2.19023932,-3.83754862,-14.4894506,1.2445849,-24.0274768,35.6638703,65.7119864,5.90348533,-4.01292354,18.0679711,-13.0911282,4.19009779,0.570694108,8.16664802,-1.28056239,-3.76638829,-12.012824,-4.38800936,-9.94082978,8.62838673,-2.25419145,3.44857916
9,-0.306875352,-0.129546633,106.271982,-0.12688839,6.16380867,-0.258866593,1.66514228,1.48766696,-3.81906143,0,0,1.79247152,15.5039215,-23.3006388,63.8772132,-2.14102439,-3.87199454,-14.497862,1.25302691,-24.0372372,35.6449507,65.7171842,5.93958971,-4.01223668,18.0826441,-13.0816206,4.22813939,0.600457725,8.16413963,-1.27378642,-3.77193312,-12.0253523,-4.35246121,-9.90785875,8.63590848,-2.15227222,3.44585946
