Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.551080052,-0.288100448,105.691934,0.505391742,6.23200863,-0.0485342215,0.358750697,-0.282164186,2.21329377,0,0,-4.35727777,15.7823832,-21.692341,71.6846385,-8.35292777,-6.61555645,-20.5151511,-0.807609678,-23.5846791,37.6347282,69.547486,10.7068645,-5.49066143,20.8750389,-15.3834233,3.59270298,-4.35172483,13.2169608,-4.66638439,-4.63549827,-14.6246764,-8.18677914,-11.2192534,17.1074348,-6.8633412,5.85597965
1,-0.503083365,-0.279383757,105.688667,0.516451009,6.25730367,-0.0536583985,0.324547537,-0.325908426,2.04672744,0,0,-4.25137911,15.8291051,-21.714464,71.6315679,-8.42141236,-6.54116331,-20.5259752,-0.667800829,-23.5696885,37.6236804,69.5240926,10.8522682,-5.47976814,20.699112,-15.3497437,3.57544651,-4.29930782,13.1683785,-4.69716677,-4.55094821,-14.6107975,-8.20608894,-11.2079938,17.0836213,-6.88190779,5.89003412
2,-0.450141216,-0.265358691,105.684757,0.516774631,6.28172967,-0.0665161254,0.313803863,-0.365262615,1.88161573,0,0,-4.1197524,15.8515645,-21.6078055,71.5975399,-8.42905364,-6.5213801,-20.5914118,-0.518097169,-23.5407558,37.5636772,69.5235462,10.9279526,-5.50192143,20.5367157,-15.3057948,3.56720973,-4.22375355,13.1125639,-4.73184876,-4.56746233,-14.591439,-8.2158305,-11.212027,17.0534626,-6.88955675,5.92398144
3,-0.398534304,-0.244863261,105.688834,0.529760636,6.30718122,-0.0683508978,0.258137101,-0.360900739,1.72254073,0,0,-4.01453845,15.8878106,-21.7135095,71.5259254,-8.60800886,-6.45997371,-20.6326115,-0.419831825,-23.5881744,37.5118634,69.569486,10.663182,-5.53122593,20.9446112,-15.2921139,3.53666085,-4.17735181,13.1086118,-4.74523294,-4.5662726,-14.5742662,-8.24338519,-11.2157034,17.0266559,-6.88808698,5.95234764
4,-0.351138273,-0.224158005,105.687904,0.526575622,6.33715069,-0.095769107,0.273881995,-0.396107056,1.56737676,0,0,-3.96943573,15.9216474,-21.8756206,71.5490524,-8.84469456,-6.4032699,-20.6464905,-0.286222332,-23.5496299,37.5141856,69.560839,10.9827273,-5.54052907,20.5870525,-15.2539827,3.53467412,-4.11755137,13.0424161,-4.7741366,-4.54638778,-14.5587395,-8.24534204,-11.2085308,16.9756087,-6.89269607,5.9670445
5,-0.30642089,-0.212297984,105.691779,0.519027998,6.36892874,-0.115516085,0.290423299,-0.432401267,1.4281853,0,0,-3.90427828,15.9073415,-21.7455191,71.551846,-8.61448644,-6.38349949,-20.5184979,-0.151851487,-23.527384,37.4073307,69.541571,10.8945846,-5.5107328,20.6347238,-15.2272084,3.5384796,-4.07393719,12.9855693,-4.7811798,-4.574713,-14.5391727,-8.23379134,-11.2101752,16.911907,-6.88441447,5.95493031
6,-0.255121244,-0.199873047,105.692577,0.524103694,6.40004504,-0.151357995,0.289832301,-0.473427038,1.26101727,0,0,-3.82483336,15.9612693,-21.8954777,71.5562173,-8.79184597,-6.36438137,-20.3988876,-0.0111392114,-23.5242199,37.4476494,69.5160261,10.887301,-5.50057844,20.5977315,-15.1928132,3.52725718,-3.99115744,12.937729,-4.79870863,-4.53201279,-14.5102895,-8.23719619,-11.2107207,16.8335715,-6.8815761,5.94702565
7,-0.212456821,-0.187598413,105.696511,0.528599487,6.43171691,-0.207531465,0.324670401,-0.537910001,1.10860662,0,0,-3.73516621,16.0434996,-22.0011817,71.542796,-8.86993467,-6.35496382,-20.383658,0.110795847,-23.5052132,37.4420452,69.4997361,10.8851043,-5.48672042,20.6580079,-15.1646763,3.51964728,-3.90800885,12.8967188,-4.81630277,-4.50750223,-14.4993578,-8.23830353,-11.1853321,16.764964,-6.86645747,5.97081434
8,-0.164911256,-0.159674336,105.69855,0.51827359,6.4683671,-0.273117593,0.346750775,-0.516654505,0.946521639,0,0,-3.63926865,16.0032835,-21.8897113,71.5639491,-8.79690287,-6.31306829,-20.3936779,0.223956087,-23.5287842,37.4721629,69.506621,10.9362684,-5.49907751,20.7005173,-15.1291934,3.523193,-3.80724392,12.8355698,-4.8468589,-4.49239983,-14.485122,-8.22610311,-11.1622887,16.683292,-6.85565126,5.96718068
9,-0.123134872,-0.141638995,105.711532,0.524158297,6.50040037,-0.341191977,0.413349682,-0.548296531,0.806524479,0,0,-3.57637584,16.0029642,-21.772454,71.5864955,-8.5142833,-6.37406999,-20.5323905,0.319428497,-23.5171985,37.4536019,69.5306086,10.9185842,-5.4842799,20.7534905,-15.0876608,3.51490841,-3.72679155,12.7694536,-4.83582644,-4.46575185,-14.4820023,-8.22749732,-11.1167749,16.6134926,-6.82457902,5.96889719
