Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.864355452,-0.51876558,105.72437,1.82005966,3.75876376,-0.0776843972,0.0209672,-0.179952366,0.184459851,0,0,-4.03065258,15.0743726,-25.0894432,65.6026488,1.78714472,-3.95244222,-15.6356588,-5.10201727,-22.8120122,37.9304618,62.1853617,0.228586768,-1.71064137,18.1180518,-13.5012418,-0.360892788,-4.72101309,11.7266263,-2.23965147,-2.02638842,-16.167792,-1.77545335,0.205307296,20.9758166,-9.13733657,-0.391735601
1,-0.851426087,-0.517932279,105.723727,1.81928903,3.76087311,-0.0867139671,-0.0166342587,-0.158931205,0.173441021,0,0,-4.02326829,15.0896535,-25.0828896,65.5797881,1.76894909,-3.98782174,-15.657763,-5.09061384,-22.8456167,37.9173444,62.1383631,0.307150485,-1.69690287,18.1494024,-13.5003573,-0.358990927,-4.71343201,11.7381275,-2.2564802,-2.00990717,-16.1643547,-1.77415263,0.22173901,20.9799284,-9.1443119,-0.384096302
2,-0.843731128,-0.519760326,105.723011,1.82715925,3.75942287,-0.10592963,-0.0248184478,-0.162389962,0.179130209,0,0,-4.03922959,15.0976192,-25.0834343,65.5711616,1.79200087,-3.99910137,-15.6446439,-5.09367505,-22.843385,37.938436,62.1254336,0.292093547,-1.69339514,18.0354031,-13.4970019,-0.362389534,-4.69950568,11.7553626,-2.25401771,-2.04383486,-16.1657481,-1.77720861,0.24708212,20.9898748,-9.14938503,-0.37300234
3,-0.835171994,-0.518807396,105.72207,1.82714871,3.76006352,-0.121650443,-0.038110121,-0.154212491,0.184220474,0,0,-4.05197131,15.1113581,-25.0826061,65.5624258,1.84944298,-4.01059402,-15.6242524,-5.09582314,-22.8596818,37.9232286,62.0910026,0.29150511,-1.6745197,18.0113062,-13.4919775,-0.361187874,-4.68248357,11.7605698,-2.28010348,-2.03544077,-16.1695798,-1.77486521,0.264840825,21.0028197,-9.15927002,-0.366576466
4,-0.82416404,-0.524639152,105.723405,1.84713851,3.76166445,-0.133181954,-0.0576271331,-0.172153998,0.182896951,0,0,-4.03857816,15.1441055,-25.0971664,65.5290944,1.81513408,-4.02854845,-15.61183,-5.10273828,-22.8664556,37.9434186,62.071441,0.297863776,-1.69274072,17.9431238,-13.4912287,-0.379116453,-4.67507666,11.7772064,-2.28393073,-2.04301395,-16.1632038,-1.79524778,0.272214681,20.9980693,-9.17640611,-0.347842645
5,-0.818345137,-0.530586578,105.721927,1.85504616,3.76100923,-0.151684877,-0.0370904285,-0.199838969,0.193445258,0,0,-4.05538469,15.1999935,-25.1588071,65.4898345,1.76722191,-4.01437069,-15.6491057,-5.10103543,-22.8689111,37.8643831,62.0333353,0.422323003,-1.66698291,18.0216249,-13.4914362,-0.382553933,-4.64979983,11.7967962,-2.29539948,-2.0549877,-16.1646211,-1.797036,0.29173867,21.0046058,-9.18245766,-0.36154966
6,-0.809772592,-0.533830421,105.72449,1.85315256,3.76207464,-0.166333557,-0.0511634997,-0.193542602,0.192606786,0,0,-4.05558021,15.2049249,-25.1638598,65.479801,1.77429542,-3.97375753,-15.6099892,-5.10304052,-22.8711702,37.8552477,62.0269149,0.46418766,-1.68244005,18.0012351,-13.4900052,-0.374458211,-4.65462494,11.8033182,-2.30656598,-2.00989501,-16.1651231,-1.79216501,0.308615001,21.0095816,-9.17795656,-0.367379147
7,-0.80120312,-0.531155104,105.717921,1.84965401,3.76290134,-0.187399066,-0.0461190614,-0.180579503,0.192968839,0,0,-4.06586818,15.2488823,-25.2559171,65.4450216,1.62860898,-3.92833207,-15.6089545,-5.09336598,-22.868433,37.8290915,62.0220792,0.450796968,-1.72576597,17.9831931,-13.481476,-0.366943322,-4.63261337,11.8042907,-2.33212007,-2.0419303,-16.1696686,-1.78494283,0.328855172,21.0230405,-9.19004087,-0.359473496
8,-0.792439282,-0.524375774,105.717719,1.8497339,3.76432927,-0.206000252,-0.0765390932,-0.14981401,0.188462168,0,0,-4.06510021,15.2253369,-25.2388962,65.4489763,1.58007931,-3.8919054,-15.6079982,-5.112041,-22.9152573,37.8784396,62.0036377,0.490801759,-1.73750589,18.0031099,-13.479462,-0.369534232,-4.61291809,11.8207181,-2.35035646,-2.05165052,-16.1665523,-1.78384755,0.348134502,21.0216813,-9.18630134,-0.374400821
9,-0.787352584,-0.527957035,105.715775,1.85155802,3.76197884,-0.220506733,-0.0607333084,-0.158124002,0.199094545,0,0,-4.07728527,15.2396444,-25.2486549,65.4364088,1.55110085,-3.881906,-15.6173197,-5.10633352,-22.9189764,37.8219027,61.9889118,0.466349095,-1.76477158,18.0454588,-13.4755244,-0.366382259,-4.5924382,11.833786,-2.35749315,-2.08025129,-16.1715128,-1.78021624,0.356084362,21.0397284,-9.18967802,-0.368999102
10,-0.780557748,-0.531155197,105.715263,1.8472945,3.76218419,-0.239113254,-0.0465993058,-0.157608629,0.198364475,0,0,-4.09149206,15.2853299,-25.3329753,65.4218195,1.46856185,-3.8940663,-15.5979988,-5.08262636,-22.9038834,37.7725512,61.9820269,0.469664138,-1.79022865,18.0445282,-13.4691518,-0.354408831,-4.59141196,11.8354056,-2.37212875,-2.06195642,-16.1766935,-1.77042068,0.376040494,21.0539335,-9.19044556,-0.373693123
