pitch,roll,J00,J01,J10,J11,det,m0,m1,err,reachable,near_singular
-0.907600,-0.349100,0.703551445,-0.35187621,-0.811122011,-0.902198401,-0.920157528,-0.689953571,1.07719028,1.991e-06,1,0
-0.907600,-0.331645,0.698299709,-0.36319961,-0.81736644,-0.90693583,-0.930180198,-0.696698875,1.06396618,1.695e-06,1,0
-0.907600,-0.314190,0.692900621,-0.374439796,-0.823678669,-0.911064248,-0.939695056,-0.703584347,1.05097967,1.431e-06,1,0
-0.907600,-0.296735,0.687351504,-0.385593426,-0.830047878,-0.914617273,-0.948724563,-0.710609212,1.03822186,1.196e-06,1,0
-0.907600,-0.279280,0.681649901,-0.396657055,-0.836463379,-0.917625672,-0.957288548,-0.717772713,1.02568482,9.884e-07,1,0
-0.907600,-0.261825,0.675793562,-0.407627173,-0.842914571,-0.920117735,-0.965404525,-0.725074115,1.01336147,8.062e-07,1,0
-0.907600,-0.244370,0.669780475,-0.418500224,-0.849390932,-0.922119592,-0.973087993,-0.732512707,1.00124542,6.472e-07,1,0
-0.907600,-0.226915,0.663608856,-0.429272632,-0.855881994,-0.923655487,-0.980352677,-0.740087805,0.98933095,5.095e-07,1,0
-0.907600,-0.209460,0.657277158,-0.439940817,-0.862377326,-0.924748015,-0.987210732,-0.747798749,0.977612914,4.566e-07,1,0
-0.907600,-0.192005,0.650784076,-0.450501222,-0.868866522,-0.925418324,-0.993672939,-0.755644914,0.966086675,4.508e-07,1,0
-0.907600,-0.174550,0.644128547,-0.460950327,-0.875339194,-0.925686296,-0.999748856,-0.763625704,0.954748059,4.289e-07,1,0
-0.907600,-0.157095,0.637309757,-0.471284664,-0.881784947,-0.92557069,-1.00544695,-0.77174056,0.943593308,3.941e-07,1,0
-0.907600,-0.139640,0.63032714,-0.481500835,-0.888193391,-0.925089291,-1.01077475,-0.77998896,0.932619035,3.492e-07,1,0
-0.907600,-0.122185,0.623180386,-0.491595526,-0.894554116,-0.924259009,-1.01573889,-0.788370422,0.921822193,2.967e-07,1,0
-0.907600,-0.104730,0.615869434,-0.501565522,-0.900856697,-0.923096003,-1.02034527,-0.796884506,0.911200041,2.390e-07,1,0
-0.907600,-0.087275,0.608394478,-0.511407721,-0.907090671,-0.921615752,-1.02459911,-0.805530818,0.900750117,1.782e-07,1,0
-0.907600,-0.069820,0.600755966,-0.52111914,-0.913245556,-0.919833145,-1.02850499,-0.814309014,0.890470214,1.161e-07,1,0
-0.907600,-0.052365,0.5929546,-0.530696938,-0.919310825,-0.917762545,-1.03206696,-0.8232188,0.880358356,5.473e-08,1,0
-0.907600,-0.034910,0.584991332,-0.54013842,-0.925275895,-0.915417852,-1.03528857,-0.83225994,0.87041278,5.100e-08,1,0
-0.907600,-0.017455,0.57686737,-0.549441045,-0.931130147,-0.912812559,-1.0381729,-0.841432254,0.860631918,5.923e-08,1,0
