pitch,roll,J00,J01,J10,J11,det,m0,m1,err,reachable,near_singular
-0.488700,-0.349100,-0.382270986,0.268527469,0.868893583,0.516643444,-0.430819593,0.408493735,-0.888299925,1.079e-07,1,0
-0.488700,-0.331645,-0.382638178,0.277545903,0.865337417,0.534578968,-0.444721176,0.419380216,-0.873052186,7.532e-08,1,0
-0.488700,-0.314190,-0.382969296,0.285982405,0.861561452,0.551557011,-0.457620817,0.430280987,-0.858243717,5.123e-08,1,0
-0.488700,-0.296735,-0.38325104,0.293882785,0.857573454,0.567670715,-0.469586466,0.441196961,-0.843820744,3.386e-08,1,0
-0.488700,-0.279280,-0.383471275,0.30128588,0.853378709,0.582998676,-0.480674201,0.452129202,-0.829738372,2.171e-08,1,0
-0.488700,-0.261825,-0.38361878,0.308225052,0.84898052,0.597607944,-0.490930695,0.463078929,-0.815958686,1.351e-08,1,0
-0.488700,-0.244370,-0.383683042,0.314729299,0.844380573,0.61155626,-0.500395072,0.474047521,-0.802449333,8.227e-09,1,0
-0.488700,-0.226915,-0.383654108,0.320824095,0.839579212,0.62489376,-0.509100299,0.485036524,-0.789182464,5.006e-09,1,0
-0.488700,-0.209460,-0.383522471,0.326532044,0.834575637,0.637664296,-0.517074275,0.496047659,-0.776133913,3.184e-09,1,0
-0.488700,-0.192005,-0.383278967,0.331873385,0.829368067,0.64990647,-0.524340669,0.507082831,-0.763282559,2.252e-09,1,0
-0.488700,-0.174550,-0.382914703,0.336866394,0.823953849,0.661654465,-0.530919585,0.518144141,-0.750609829,2.941e-09,1,0
-0.488700,-0.157095,-0.382420991,0.341527713,0.818329542,0.672938704,-0.536828103,0.529233893,-0.738099295,3.813e-09,1,0
-0.488700,-0.139640,-0.381789292,0.345872602,0.812490981,0.683786395,-0.542080693,0.540354611,-0.72573635,4.013e-09,1,0
-0.488700,-0.122185,-0.381011169,0.349915162,0.806433314,0.694221972,-0.546689568,0.55150905,-0.71350795,3.723e-09,1,0
-0.488700,-0.104730,-0.380078244,0.35366851,0.800151026,0.704267466,-0.550664962,0.562700217,-0.701402394,3.138e-09,1,0
-0.488700,-0.087275,-0.378982156,0.357144923,0.793637948,0.713942809,-0.554015349,0.573931385,-0.689409147,2.431e-09,1,0
-0.488700,-0.069820,-0.377714527,0.360355966,0.786887253,0.723266096,-0.556747628,0.585206119,-0.677518691,1.736e-09,1,0
-0.488700,-0.052365,-0.376243674,0.363310133,0.779881967,0.732244425,-0.558841354,0.596528297,-0.665722404,7.417e-05,1,0
-0.488700,-0.034910,-0.374612682,0.366021602,0.772633653,0.740912445,-0.560355806,0.607902139,-0.654012448,5.671e-05,1,0
-0.488700,-0.017455,-0.372784134,0.36849796,0.765122736,0.749273244,-0.561263345,0.619332239,-0.642381686,5.187e-05,1,0
-0.488700,0.000000,-0.370748976,0.370748976,0.757339476,0.757339476,-0.561565671,0.630823603,-0.630823603,5.025e-05,1,0
-0.488700,0.017455,-0.36849796,0.372784134,0.749273244,0.765122736,-0.561263345,0.642381686,-0.619332239,5.187e-05,1,0
-0.488700,0.034910,-0.366021602,0.374612682,0.740912445,0.772633653,-0.560355806,0.654012448,-0.607902139,5.671e-05,1,0
-0.488700,0.052365,-0.363310133,0.376243674,0.732244425,0.779881967,-0.558841354,0.665722404,-0.596528297,7.417e-05,1,0
-0.488700,0.069820,-0.360355966,0.377714527,0.723266096,0.786887253,-0.556747628,0.677518691,-0.585206119,1.736e-09,1,0
-0.488700,0.087275,-0.357144923,0.378982156,0.71394281,0.793637948,-0.554015349,0.689409147,-0.573931385,2.431e-09,1,0
-0.488700,0.104730,-0.35366851,0.380078244,0.704267466,0.800151026,-0.550664962,0.701402394,-0.562700217,3.138e-09,1,0
-0.488700,0.122185,-0.349915162,0.381011169,0.694221972,0.806433314,-0.546689568,0.71350795,-0.55150905,3.723e-09,1,0
-0.488700,0.139640,-0.345872602,0.381789292,0.683786395,0.812490981,-0.542080693,0.72573635,-0.540354611,4.013e-09,1,0
-0.488700,0.157095,-0.341527713,0.382420991,0.672938704,0.818329542,-0.536828103,0.738099295,-0.529233893,3.813e-09,1,0
-0.488700,0.174550,-0.336866394,0.382914703,0.661654465,0.823953849,-0.530919585,0.750609829,-0.518144141,2.941e-09,1,0
-0.488700,0.192005,-0.331873385,0.383278967,0.64990647,0.829368067,-0.524340669,0.763282559,-0.507082831,2.252e-09,1,0
-0.488700,0.209460,-0.326532044,0.383522471,0.637664296,0.834575637,-0.517074275,0.776133913,-0.496047659,3.184e-09,1,0
-0.488700,0.226915,-0.320824095,0.383654108,0.62489376,0.839579212,-0.509100299,0.789182464,-0.485036524,5.006e-09,1,0
-0.488700,0.244370,-0.314729299,0.383683041,0.61155626,0.844380573,-0.500395071,0.802449333,-0.474047521,8.227e-09,1,0
