model,point,rmse_mm
model_1,A,10.969200
model_1,B,8.416621
model_1,C,3.079865
model_1,D,5.033834
model_1,E,7.543475
model_1,all,7.440869
model_2,A,10.969200
model_2,B,7.166007
model_2,C,1.888869
model_2,D,3.702228
model_2,E,2.617003
model_2,all,6.142082
model_3,A,0.903058
model_3,B,1.162308
model_3,C,1.042821
model_3,D,2.937667
model_3,E,3.096199
model_3,all,2.077536
model_4,A,0.976514
model_4,B,0.499526
model_4,C,1.193305
model_4,D,1.118367
model_4,E,4.234574
model_4,all,2.102510
model_5,A,1.061104
model_5,B,0.465076
model_5,C,1.109246
model_5,D,0.730785
model_5,E,2.504132
model_5,all,1.375902
model_6,A,0.931046
model_6,B,0.488213
model_6,C,1.145999
model_6,D,0.767215
model_6,E,2.504051
model_6,all,1.370087
two_stage_current,A,10.969200
two_stage_current,B,5.623867
two_stage_current,C,9.958628
two_stage_current,D,20.368634
two_stage_current,E,3.164507
two_stage_current,all,11.584831
