结果表格 1
,压缩位移(力 200 N),压缩位移(力 400 N),压缩位移(力 600 N),压缩位移(力 1500 N),压缩位移(力 3000 N),压缩位移(力 4500 N),标识
,(mm),(mm),(mm),(mm),(mm),(mm),
"平均值","3.10","6.38","9.07","14.14","17.09","18.59",""
"标准偏差","-----","-----","-----","-----","-----","-----",""
"变异系数％","-----","-----","-----","-----","-----","-----",""

结果表格 2


1,时间,位移,力,压缩应变
,(s),(mm),(kN),(%)
"","0.0000","0.0000","0.0038","0.0000"
"","0.0200","0.0000","0.0039","0.0000"
"","0.0400","0.0001","0.0039","0.0002"
"","0.0600","0.0002","0.0039","0.0005"
"","0.0800","0.0004","0.0038","0.0012"
"","0.1000","0.0009","0.0039","0.0023"
"","0.1200","0.0017","0.0038","0.0046"
"","0.1400","0.0030","0.0041","0.0078"
"","0.1600","0.0037","0.0041","0.0098"
"","0.1800","0.0040","0.0041","0.0107"
"","0.2000","0.0045","0.0040","0.0118"
"","0.2200","0.0055","0.0041","0.0147"
"","0.2400","0.0074","0.0042","0.0197"
"","0.2600","0.0100","0.0043","0.0264"
"","0.2800","0.0128","0.0043","0.0339"
"","0.3000","0.0155","0.0042","0.0411"
"","0.3200","0.0179","0.0041","0.0474"
"","0.3400","0.0200","0.0041","0.0530"
"","0.3600","0.0220","0.0044","0.0582"
"","0.3800","0.0238","0.0046","0.0630"
"","0.4000","0.0255","0.0046","0.0674"
"","0.4200","0.0270","0.0048","0.0713"
"","0.4400","0.0285","0.0048","0.0754"
"","0.4600","0.0302","0.0048","0.0798"
"","0.4800","0.0319","0.0047","0.0844"
"","0.5000","0.0335","0.0048","0.0886"
"","0.5200","0.0349","0.0047","0.0924"
"","0.5400","0.0364","0.0050","0.0964"
"","0.5600","0.0381","0.0050","0.1009"
"","0.5800","0.0400","0.0051","0.1058"
"","0.6000","0.0417","0.0051","0.1104"
"","0.6200","0.0432","0.0051","0.1144"
"","0.6400","0.0447","0.0052","0.1183"
"","0.6600","0.0464","0.0053","0.1227"
"","0.6800","0.0481","0.0053","0.1272"
"","0.7000","0.0496","0.0053","0.1313"
"","0.7200","0.0511","0.0055","0.1351"
"","0.7400","0.0525","0.0055","0.1390"
"","0.7600","0.0542","0.0056","0.1434"
"","0.7800","0.0561","0.0055","0.1484"
"","0.8000","0.0579","0.0058","0.1531"
"","0.8200","0.0595","0.0059","0.1573"
"","0.8400","0.0610","0.0058","0.1615"
"","0.8600","0.0628","0.0059","0.1661"
"","0.8800","0.0647","0.0061","0.1712"
"","0.9000","0.0666","0.0060","0.1762"
"","0.9200","0.0683","0.0061","0.1806"
"","0.9400","0.0699","0.0064","0.1849"
"","0.9600","0.0716","0.0063","0.1894"
"","0.9800","0.0734","0.0062","0.1941"
"","1.0000","0.0750","0.0063","0.1985"
"","1.0200","0.0765","0.0065","0.2025"
"","1.0400","0.0780","0.0064","0.2065"
"","1.0600","0.0797","0.0066","0.2110"
"","1.0800","0.0816","0.0067","0.2158"
"","1.1000","0.0833","0.0068","0.2204"
"","1.1200","0.0849","0.0068","0.2245"
"","1.1400","0.0864","0.0070","0.2286"
"","1.1600","0.0880","0.0072","0.2330"
"","1.1800","0.0898","0.0074","0.2377"
"","1.2000","0.0916","0.0075","0.2423"
"","1.2200","0.0932","0.0075","0.2465"
"","1.2400","0.0947","0.0076","0.2505"
"","1.2600","0.0963","0.0075","0.2547"
"","1.2800","0.0979","0.0073","0.2591"
"","1.3000","0.0996","0.0075","0.2636"
"","1.3200","0.1012","0.0079","0.2678"
"","1.3400","0.1027","0.0079","0.2718"
"","1.3600","0.1044","0.0079","0.2761"
"","1.3800","0.1061","0.0078","0.2808"
"","1.4000","0.1080","0.0078","0.2857"
"","1.4200","0.1097","0.0079","0.2903"
"","1.4400","0.1114","0.0080","0.2947"
"","1.4600","0.1131","0.0082","0.2994"
"","1.4800","0.1150","0.0083","0.3043"
"","1.5000","0.1169","0.0084","0.3092"
"","1.5200","0.1186","0.0085","0.3138"
"","1.5400","0.1202","0.0085","0.3181"
"","1.5600","0.1218","0.0084","0.3224"
"","1.5800","0.1235","0.0085","0.3268"
"","1.6000","0.1252","0.0087","0.3313"
"","1.6200","0.1269","0.0089","0.3357"
"","1.6400","0.1285","0.0090","0.3399"
"","1.6600","0.1300","0.0090","0.3441"
"","1.6800","0.1317","0.0089","0.3484"
"","1.7000","0.1334","0.0090","0.3530"
"","1.7200","0.1351","0.0091","0.3576"
"","1.7400","0.1368","0.0093","0.3619"
"","1.7600","0.1383","0.0093","0.3660"
"","1.7800","0.1399","0.0093","0.3701"
"","1.8000","0.1415","0.0094","0.3744"
"","1.8200","0.1431","0.0094","0.3786"
"","1.8400","0.1446","0.0095","0.3826"
"","1.8600","0.1461","0.0096","0.3866"
"","1.8800","0.1477","0.0098","0.3907"
"","1.9000","0.1494","0.0101","0.3952"
"","1.9200","0.1512","0.0102","0.3999"
"","1.9400","0.1528","0.0100","0.4044"
"","1.9600","0.1544","0.0099","0.4085"
"","1.9800","0.1560","0.0102","0.4127"
"","2.0000","0.1577","0.0103","0.4172"
"","2.0200","0.1596","0.0104","0.4222"
"","2.0400","0.1614","0.0104","0.4271"
"","2.0600","0.1631","0.0107","0.4316"
"","2.0800","0.1648","0.0109","0.4359"
"","2.1000","0.1665","0.0107","0.4405"
"","2.1200","0.1683","0.0109","0.4452"
"","2.1400","0.1699","0.0108","0.4496"
"","2.1600","0.1714","0.0108","0.4536"
"","2.1800","0.1730","0.0110","0.4576"
"","2.2000","0.1747","0.0113","0.4621"
"","2.2200","0.1765","0.0113","0.4670"
"","2.2400","0.1783","0.0114","0.4717"
"","2.2600","0.1799","0.0114","0.4758"
"","2.2800","0.1814","0.0116","0.4799"
"","2.3000","0.1831","0.0117","0.4844"
"","2.3200","0.1849","0.0117","0.4892"
"","2.3400","0.1866","0.0117","0.4938"
"","2.3600","0.1881","0.0117","0.4978"
"","2.3800","0.1896","0.0118","0.5016"
"","2.4000","0.1912","0.0119","0.5059"
"","2.4200","0.1930","0.0120","0.5106"
"","2.4400","0.1947","0.0122","0.5151"
"","2.4600","0.1962","0.0123","0.5191"
"","2.4800","0.1977","0.0124","0.5230"
"","2.5000","0.1994","0.0124","0.5274"
"","2.5200","0.2012","0.0125","0.5323"
"","2.5400","0.2030","0.0127","0.5372"
"","2.5600","0.2047","0.0127","0.5416"
"","2.5800","0.2063","0.0126","0.5458"
"","2.6000","0.2081","0.0127","0.5505"
"","2.6200","0.2100","0.0128","0.5555"
"","2.6400","0.2118","0.0130","0.5604"
"","2.6600","0.2134","0.0132","0.5647"
"","2.6800","0.2150","0.0132","0.5688"
"","2.7000","0.2167","0.0133","0.5732"
"","2.7200","0.2184","0.0133","0.5779"
"","2.7400","0.2202","0.0134","0.5825"
"","2.7600","0.2218","0.0133","0.5867"
"","2.7800","0.2233","0.0135","0.5908"
"","2.8000","0.2250","0.0135","0.5953"
"","2.8200","0.2268","0.0138","0.6001"
"","2.8400","0.2285","0.0140","0.6046"
"","2.8600","0.2301","0.0140","0.6087"
"","2.8800","0.2316","0.0140","0.6127"
"","2.9000","0.2332","0.0140","0.6171"
"","2.9200","0.2350","0.0143","0.6217"
"","2.9400","0.2366","0.0143","0.6261"
"","2.9600","0.2381","0.0144","0.6300"
"","2.9800","0.2395","0.0144","0.6337"
"","3.0000","0.2411","0.0144","0.6378"
"","3.0200","0.2428","0.0145","0.6423"
"","3.0400","0.2445","0.0145","0.6468"
"","3.0600","0.2461","0.0147","0.6511"
"","3.0800","0.2476","0.0149","0.6552"
"","3.1000","0.2493","0.0150","0.6594"
"","3.1200","0.2510","0.0151","0.6640"
"","3.1400","0.2528","0.0151","0.6688"
"","3.1600","0.2545","0.0151","0.6733"
"","3.1800","0.2561","0.0154","0.6776"
"","3.2000","0.2578","0.0155","0.6821"
"","3.2200","0.2596","0.0155","0.6869"
"","3.2400","0.2615","0.0156","0.6918"
"","3.2600","0.2632","0.0159","0.6964"
"","3.2800","0.2649","0.0161","0.7007"
"","3.3000","0.2665","0.0162","0.7050"
"","3.3200","0.2681","0.0164","0.7094"
"","3.3400","0.2699","0.0163","0.7140"
"","3.3600","0.2715","0.0163","0.7184"
"","3.3800","0.2731","0.0162","0.7226"
"","3.4000","0.2747","0.0164","0.7269"
"","3.4200","0.2764","0.0166","0.7313"
"","3.4400","0.2782","0.0167","0.7360"
"","3.4600","0.2799","0.0168","0.7406"
"","3.4800","0.2816","0.0168","0.7449"
"","3.5000","0.2831","0.0169","0.7490"
"","3.5200","0.2847","0.0170","0.7532"
"","3.5400","0.2864","0.0170","0.7577"
"","3.5600","0.2881","0.0170","0.7622"
"","3.5800","0.2897","0.0172","0.7665"
"","3.6000","0.2912","0.0173","0.7705"
"","3.6200","0.2928","0.0175","0.7746"
"","3.6400","0.2945","0.0176","0.7791"
"","3.6600","0.2963","0.0177","0.7838"
"","3.6800","0.2980","0.0178","0.7884"
"","3.7000","0.2996","0.0178","0.7927"
"","3.7200","0.3013","0.0178","0.7970"
"","3.7400","0.3030","0.0178","0.8016"
"","3.7600","0.3048","0.0179","0.8064"
"","3.7800","0.3066","0.0180","0.8110"
"","3.8000","0.3082","0.0183","0.8153"
"","3.8200","0.3098","0.0185","0.8197"
"","3.8400","0.3116","0.0187","0.8244"
"","3.8600","0.3135","0.0188","0.8293"
"","3.8800","0.3152","0.0186","0.8340"
"","3.9000","0.3168","0.0188","0.8382"
"","3.9200","0.3184","0.0189","0.8424"
"","3.9400","0.3201","0.0187","0.8469"
"","3.9600","0.3219","0.0189","0.8516"
"","3.9800","0.3235","0.0193","0.8560"
"","4.0000","0.3250","0.0192","0.8599"
"","4.0200","0.3265","0.0191","0.8639"
"","4.0400","0.3282","0.0192","0.8683"
"","4.0600","0.3300","0.0195","0.8732"
"","4.0800","0.3318","0.0197","0.8777"
"","4.1000","0.3333","0.0199","0.8817"
"","4.1200","0.3347","0.0197","0.8854"
"","4.1400","0.3362","0.0196","0.8895"
"","4.1600","0.3379","0.0196","0.8940"
"","4.1800","0.3396","0.0197","0.8983"
"","4.2000","0.3410","0.0199","0.9022"
"","4.2200","0.3425","0.0202","0.9061"
"","4.2400","0.3441","0.0203","0.9104"
"","4.2600","0.3460","0.0204","0.9153"
"","4.2800","0.3478","0.0206","0.9203"
"","4.3000","0.3495","0.0204","0.9247"
"","4.3200","0.3511","0.0205","0.9288"
"","4.3400","0.3527","0.0209","0.9332"
"","4.3600","0.3546","0.0211","0.9382"
"","4.3800","0.3565","0.0210","0.9432"
"","4.4000","0.3582","0.0210","0.9477"
"","4.4200","0.3598","0.0212","0.9518"
"","4.4400","0.3614","0.0214","0.9561"
"","4.4600","0.3632","0.0214","0.9608"
"","4.4800","0.3649","0.0214","0.9654"
"","4.5000","0.3665","0.0216","0.9696"
"","4.5200","0.3681","0.0216","0.9738"
"","4.5400","0.3698","0.0217","0.9783"
"","4.5600","0.3716","0.0219","0.9830"
"","4.5800","0.3733","0.0220","0.9876"
"","4.6000","0.3748","0.0221","0.9916"
"","4.6200","0.3763","0.0221","0.9956"
"","4.6400","0.3780","0.0220","1.0000"
"","4.6600","0.3798","0.0222","1.0048"
"","4.6800","0.3816","0.0224","1.0094"
"","4.7000","0.3831","0.0226","1.0136"
"","4.7200","0.3846","0.0226","1.0175"
"","4.7400","0.3862","0.0226","1.0216"
"","4.7600","0.3878","0.0226","1.0261"
"","4.7800","0.3896","0.0228","1.0307"
"","4.8000","0.3913","0.0229","1.0351"
"","4.8200","0.3928","0.0229","1.0393"
"","4.8400","0.3944","0.0231","1.0435"
"","4.8600","0.3961","0.0232","1.0480"
"","4.8800","0.3979","0.0232","1.0528"
"","4.9000","0.3997","0.0233","1.0574"
"","4.9200","0.4014","0.0233","1.0620"
"","4.9400","0.4032","0.0236","1.0666"
"","4.9600","0.4050","0.0238","1.0715"
"","4.9800","0.4068","0.0240","1.0763"
"","5.0000","0.4085","0.0241","1.0807"
"","5.0200","0.4101","0.0240","1.0848"
"","5.0400","0.4116","0.0241","1.0890"
"","5.0600","0.4133","0.0242","1.0935"
"","5.0800","0.4151","0.0243","1.0982"
"","5.1000","0.4168","0.0242","1.1027"
"","5.1200","0.4184","0.0242","1.1069"
"","5.1400","0.4200","0.0245","1.1110"
"","5.1600","0.4216","0.0247","1.1153"
"","5.1800","0.4233","0.0250","1.1199"
"","5.2000","0.4251","0.0250","1.1246"
"","5.2200","0.4268","0.0251","1.1291"
"","5.2400","0.4283","0.0252","1.1332"
"","5.2600","0.4299","0.0253","1.1373"
"","5.2800","0.4315","0.0252","1.1415"
"","5.3000","0.4330","0.0252","1.1456"
"","5.3200","0.4345","0.0255","1.1496"
"","5.3400","0.4360","0.0257","1.1534"
"","5.3600","0.4375","0.0260","1.1574"
"","5.3800","0.4392","0.0258","1.1619"
"","5.4000","0.4410","0.0258","1.1668"
"","5.4200","0.4428","0.0259","1.1715"
"","5.4400","0.4444","0.0260","1.1758"
"","5.4600","0.4460","0.0261","1.1799"
"","5.4800","0.4477","0.0263","1.1843"
"","5.5000","0.4496","0.0264","1.1893"
"","5.5200","0.4514","0.0265","1.1943"
"","5.5400","0.4532","0.0265","1.1989"
"","5.5600","0.4548","0.0269","1.2032"
"","5.5800","0.4565","0.0269","1.2076"
"","5.6000","0.4583","0.0270","1.2124"
"","5.6200","0.4601","0.0271","1.2171"
"","5.6400","0.4617","0.0272","1.2213"
"","5.6600","0.4632","0.0274","1.2253"
"","5.6800","0.4648","0.0276","1.2296"
"","5.7000","0.4666","0.0275","1.2343"
"","5.7200","0.4683","0.0273","1.2388"
"","5.7400","0.4698","0.0274","1.2430"
"","5.7600","0.4714","0.0275","1.2471"
"","5.7800","0.4731","0.0278","1.2515"
"","5.8000","0.4749","0.0279","1.2564"
"","5.8200","0.4767","0.0279","1.2611"
"","5.8400","0.4782","0.0281","1.2651"
"","5.8600","0.4796","0.0283","1.2688"
"","5.8800","0.4812","0.0285","1.2729"
"","5.9000","0.4829","0.0286","1.2776"
"","5.9200","0.4847","0.0284","1.2822"
"","5.9400","0.4862","0.0284","1.2864"
"","5.9600","0.4877","0.0286","1.2901"
"","5.9800","0.4892","0.0288","1.2942"
"","6.0000","0.4910","0.0289","1.2990"
"","6.0200","0.4930","0.0290","1.3041"
"","6.0400","0.4948","0.0290","1.3089"
"","6.0600","0.4964","0.0291","1.3133"
"","6.0800","0.4981","0.0293","1.3178"
"","6.1000","0.5000","0.0293","1.3227"
"","6.1200","0.5017","0.0294","1.3274"
"","6.1400","0.5033","0.0293","1.3315"
"","6.1600","0.5048","0.0295","1.3355"
"","6.1800","0.5065","0.0296","1.3399"
"","6.2000","0.5083","0.0298","1.3448"
"","6.2200","0.5102","0.0301","1.3498"
"","6.2400","0.5119","0.0302","1.3542"
"","6.2600","0.5134","0.0304","1.3583"
"","6.2800","0.5150","0.0305","1.3625"
"","6.3000","0.5168","0.0305","1.3672"
"","6.3200","0.5186","0.0305","1.3719"
"","6.3400","0.5203","0.0307","1.3764"
"","6.3600","0.5218","0.0306","1.3805"
"","6.3800","0.5234","0.0308","1.3846"
"","6.4000","0.5250","0.0310","1.3889"
"","6.4200","0.5266","0.0310","1.3930"
"","6.4400","0.5280","0.0312","1.3969"
"","6.4600","0.5294","0.0313","1.4006"
"","6.4800","0.5309","0.0313","1.4046"
"","6.5000","0.5326","0.0314","1.4090"
"","6.5200","0.5344","0.0315","1.4137"
"","6.5400","0.5360","0.0314","1.4181"
"","6.5600","0.5376","0.0316","1.4222"
"","6.5800","0.5392","0.0319","1.4264"
"","6.6000","0.5409","0.0319","1.4309"
"","6.6200","0.5427","0.0318","1.4358"
"","6.6400","0.5445","0.0319","1.4405"
"","6.6600","0.5462","0.0323","1.4450"
"","6.6800","0.5479","0.0323","1.4495"
"","6.7000","0.5496","0.0325","1.4541"
"","6.7200","0.5514","0.0326","1.4589"
"","6.7400","0.5532","0.0326","1.4635"
"","6.7600","0.5549","0.0327","1.4680"
"","6.7800","0.5565","0.0327","1.4723"
"","6.8000","0.5582","0.0327","1.4768"
"","6.8200","0.5599","0.0328","1.4813"
"","6.8400","0.5616","0.0331","1.4857"
"","6.8600","0.5632","0.0333","1.4900"
"","6.8800","0.5648","0.0333","1.4942"
"","6.9000","0.5665","0.0335","1.4987"
"","6.9200","0.5683","0.0336","1.5034"
"","6.9400","0.5700","0.0338","1.5080"
"","6.9600","0.5716","0.0339","1.5123"
"","6.9800","0.5732","0.0338","1.5163"
"","7.0000","0.5747","0.0339","1.5204"
"","7.0200","0.5763","0.0339","1.5246"
"","7.0400","0.5780","0.0342","1.5290"
"","7.0600","0.5796","0.0343","1.5333"
"","7.0800","0.5811","0.0342","1.5374"
"","7.1000","0.5827","0.0342","1.5415"
"","7.1200","0.5844","0.0344","1.5460"
"","7.1400","0.5862","0.0345","1.5508"
"","7.1600","0.5880","0.0348","1.5556"
"","7.1800","0.5897","0.0351","1.5600"
"","7.2000","0.5913","0.0350","1.5643"
"","7.2200","0.5930","0.0351","1.5689"
"","7.2400","0.5949","0.0353","1.5737"
"","7.2600","0.5966","0.0353","1.5783"
"","7.2800","0.5982","0.0354","1.5825"
"","7.3000","0.5998","0.0357","1.5867"
"","7.3200","0.6015","0.0357","1.5913"
"","7.3400","0.6034","0.0357","1.5963"
"","7.3600","0.6052","0.0358","1.6010"
"","7.3800","0.6068","0.0359","1.6053"
"","7.4000","0.6083","0.0360","1.6094"
"","7.4200","0.6100","0.0360","1.6138"
"","7.4400","0.6118","0.0362","1.6186"
"","7.4600","0.6135","0.0363","1.6231"
"","7.4800","0.6151","0.0364","1.6272"
"","7.5000","0.6165","0.0368","1.6311"
"","7.5200","0.6182","0.0368","1.6354"
"","7.5400","0.6199","0.0368","1.6400"
"","7.5600","0.6216","0.0370","1.6445"
"","7.5800","0.6231","0.0371","1.6484"
"","7.6000","0.6245","0.0371","1.6521"
"","7.6200","0.6260","0.0370","1.6561"
"","7.6400","0.6278","0.0371","1.6608"
"","7.6600","0.6296","0.0373","1.6655"
"","7.6800","0.6311","0.0374","1.6697"
"","7.7000","0.6326","0.0375","1.6736"
"","7.7200","0.6342","0.0374","1.6778"
"","7.7400","0.6360","0.0374","1.6826"
"","7.7600","0.6379","0.0376","1.6877"
"","7.7800","0.6397","0.0379","1.6923"
"","7.8000","0.6413","0.0381","1.6965"
"","7.8200","0.6429","0.0383","1.7009"
"","7.8400","0.6447","0.0383","1.7057"
"","7.8600","0.6465","0.0383","1.7104"
"","7.8800","0.6481","0.0385","1.7146"
"","7.9000","0.6496","0.0387","1.7186"
"","7.9200","0.6512","0.0388","1.7228"
"","7.9400","0.6531","0.0388","1.7277"
"","7.9600","0.6550","0.0389","1.7327"
"","7.9800","0.6567","0.0390","1.7373"
"","8.0000","0.6583","0.0390","1.7414"
"","8.0200","0.6599","0.0390","1.7458"
"","8.0400","0.6617","0.0389","1.7505"
"","8.0600","0.6635","0.0391","1.7552"
"","8.0800","0.6650","0.0394","1.7594"
"","8.1000","0.6665","0.0394","1.7632"
"","8.1200","0.6680","0.0395","1.7671"
"","8.1400","0.6696","0.0394","1.7716"
"","8.1600","0.6714","0.0397","1.7762"
"","8.1800","0.6730","0.0399","1.7806"
"","8.2000","0.6746","0.0401","1.7846"
"","8.2200","0.6761","0.0402","1.7887"
"","8.2400","0.6778","0.0403","1.7932"
"","8.2600","0.6796","0.0405","1.7980"
