结果表格 1
,压缩位移(力 150 N),压缩位移(力 300 N),压缩位移(力 450 N),压缩位移 (力 1000 N),压缩位移(力 2000 N),压缩位移(力 3000 N),标识
,(mm),(mm),(mm),(mm),(mm),(mm),
"平均值","2.35","4.78","7.21","12.34","16.31","18.52",""
"标准偏差","-----","-----","-----","-----","-----","-----",""
"变异系数％","-----","-----","-----","-----","-----","-----",""

结果表格 2


1,时间,位移,力,压缩应变
,(s),(mm),(kN),(%)
"","0.0000","0.0000","0.0040","0.0000"
"","0.0200","0.0000","0.0040","0.0000"
"","0.0400","0.0000","0.0038","0.0002"
"","0.0600","0.0002","0.0041","0.0005"
"","0.0800","0.0004","0.0043","0.0012"
"","0.1000","0.0010","0.0041","0.0027"
"","0.1200","0.0019","0.0040","0.0053"
"","0.1400","0.0032","0.0040","0.0086"
"","0.1600","0.0038","0.0042","0.0103"
"","0.1800","0.0042","0.0043","0.0111"
"","0.2000","0.0047","0.0044","0.0125"
"","0.2200","0.0060","0.0043","0.0160"
"","0.2400","0.0083","0.0043","0.0220"
"","0.2600","0.0112","0.0046","0.0297"
"","0.2800","0.0141","0.0047","0.0374"
"","0.3000","0.0166","0.0049","0.0441"
"","0.3200","0.0188","0.0047","0.0498"
"","0.3400","0.0206","0.0047","0.0546"
"","0.3600","0.0222","0.0046","0.0589"
"","0.3800","0.0237","0.0048","0.0628"
"","0.4000","0.0252","0.0049","0.0667"
"","0.4200","0.0268","0.0048","0.0710"
"","0.4400","0.0285","0.0046","0.0755"
"","0.4600","0.0301","0.0048","0.0798"
"","0.4800","0.0316","0.0049","0.0838"
"","0.5000","0.0331","0.0049","0.0877"
"","0.5200","0.0347","0.0050","0.0920"
"","0.5400","0.0364","0.0051","0.0965"
"","0.5600","0.0381","0.0051","0.1010"
"","0.5800","0.0397","0.0051","0.1052"
"","0.6000","0.0413","0.0051","0.1093"
"","0.6200","0.0429","0.0049","0.1137"
"","0.6400","0.0447","0.0050","0.1184"
"","0.6600","0.0465","0.0054","0.1232"
"","0.6800","0.0482","0.0057","0.1277"
"","0.7000","0.0499","0.0057","0.1322"
"","0.7200","0.0517","0.0057","0.1368"
"","0.7400","0.0535","0.0058","0.1415"
"","0.7600","0.0552","0.0056","0.1462"
"","0.7800","0.0569","0.0057","0.1507"
"","0.8000","0.0586","0.0059","0.1551"
"","0.8200","0.0602","0.0060","0.1595"
"","0.8400","0.0619","0.0059","0.1640"
"","0.8600","0.0636","0.0059","0.1685"
"","0.8800","0.0653","0.0060","0.1728"
"","0.9000","0.0669","0.0061","0.1771"
"","0.9200","0.0686","0.0062","0.1815"
"","0.9400","0.0703","0.0063","0.1861"
"","0.9600","0.0721","0.0064","0.1908"
"","0.9800","0.0737","0.0064","0.1952"
"","1.0000","0.0753","0.0065","0.1993"
"","1.0200","0.0768","0.0066","0.2032"
"","1.0400","0.0783","0.0065","0.2074"
"","1.0600","0.0800","0.0064","0.2118"
"","1.0800","0.0817","0.0066","0.2162"
"","1.1000","0.0832","0.0069","0.2204"
"","1.1200","0.0848","0.0070","0.2244"
"","1.1400","0.0864","0.0066","0.2287"
"","1.1600","0.0882","0.0068","0.2334"
"","1.1800","0.0900","0.0069","0.2382"
"","1.2000","0.0917","0.0071","0.2427"
"","1.2200","0.0933","0.0071","0.2470"
"","1.2400","0.0950","0.0071","0.2515"
"","1.2600","0.0969","0.0071","0.2564"
"","1.2800","0.0987","0.0073","0.2612"
"","1.3000","0.1004","0.0073","0.2656"
"","1.3200","0.1019","0.0074","0.2697"
"","1.3400","0.1036","0.0074","0.2741"
"","1.3600","0.1054","0.0075","0.2789"
"","1.3800","0.1072","0.0075","0.2838"
"","1.4000","0.1089","0.0075","0.2882"
"","1.4200","0.1105","0.0076","0.2923"
"","1.4400","0.1121","0.0076","0.2967"
"","1.4600","0.1139","0.0079","0.3014"
"","1.4800","0.1156","0.0081","0.3060"
"","1.5000","0.1172","0.0080","0.3102"
"","1.5200","0.1187","0.0081","0.3141"
"","1.5400","0.1203","0.0081","0.3183"
"","1.5600","0.1220","0.0081","0.3229"
"","1.5800","0.1237","0.0082","0.3275"
"","1.6000","0.1253","0.0081","0.3315"
