结果表格 1
,压缩位移(力 150 N),压缩位移(力 200 N),压缩位移(力 300 N),压缩位移 (力 1000 N),压缩位移(力 1500 N),压缩位移(力 2000 N),标识
,(mm),(mm),(mm),(mm),(mm),(mm),
"平均值","2.25","3.06","4.83","12.68","15.25","17.21",""
"标准偏差","-----","-----","-----","-----","-----","-----",""
"变异系数％","-----","-----","-----","-----","-----","-----",""

结果表格 2


1,时间,位移,力,压缩应变
,(s),(mm),(kN),(%)
"","0.0000","-0.0003","0.0042","0.0000"
"","0.0200","-0.0003","0.0042","0.0000"
"","0.0400","-0.0002","0.0042","0.0001"
"","0.0600","-0.0001","0.0042","0.0005"
"","0.0800","0.0001","0.0041","0.0011"
"","0.1000","0.0005","0.0042","0.0022"
"","0.1200","0.0014","0.0043","0.0044"
"","0.1400","0.0026","0.0043","0.0077"
"","0.1600","0.0034","0.0043","0.0099"
"","0.1800","0.0038","0.0043","0.0109"
"","0.2000","0.0044","0.0044","0.0124"
"","0.2200","0.0057","0.0044","0.0158"
"","0.2400","0.0078","0.0044","0.0215"
"","0.2600","0.0104","0.0046","0.0284"
"","0.2800","0.0131","0.0047","0.0355"
"","0.3000","0.0156","0.0049","0.0419"
"","0.3200","0.0177","0.0049","0.0475"
"","0.3400","0.0195","0.0047","0.0523"
"","0.3600","0.0212","0.0048","0.0569"
"","0.3800","0.0229","0.0049","0.0613"
"","0.4000","0.0246","0.0050","0.0659"
"","0.4200","0.0263","0.0050","0.0705"
"","0.4400","0.0281","0.0051","0.0751"
"","0.4600","0.0298","0.0053","0.0796"
"","0.4800","0.0315","0.0054","0.0840"
"","0.5000","0.0331","0.0055","0.0883"
"","0.5200","0.0347","0.0055","0.0926"
"","0.5400","0.0364","0.0054","0.0970"
"","0.5600","0.0380","0.0055","0.1014"
"","0.5800","0.0397","0.0056","0.1058"
"","0.6000","0.0413","0.0056","0.1101"
"","0.6200","0.0430","0.0058","0.1146"
"","0.6400","0.0447","0.0059","0.1190"
"","0.6600","0.0464","0.0060","0.1234"
"","0.6800","0.0480","0.0058","0.1277"
"","0.7000","0.0495","0.0059","0.1318"
"","0.7200","0.0511","0.0059","0.1359"
"","0.7400","0.0526","0.0061","0.1401"
"","0.7600","0.0542","0.0064","0.1443"
"","0.7800","0.0558","0.0065","0.1485"
"","0.8000","0.0574","0.0063","0.1526"
"","0.8200","0.0590","0.0061","0.1568"
"","0.8400","0.0607","0.0063","0.1613"
"","0.8600","0.0624","0.0063","0.1659"
"","0.8800","0.0641","0.0065","0.1704"
"","0.9000","0.0657","0.0067","0.1747"
"","0.9200","0.0674","0.0068","0.1790"
"","0.9400","0.0691","0.0068","0.1837"
"","0.9600","0.0710","0.0069","0.1886"
"","0.9800","0.0728","0.0070","0.1934"
"","1.0000","0.0745","0.0070","0.1980"
"","1.0200","0.0762","0.0072","0.2024"
"","1.0400","0.0779","0.0072","0.2070"
"","1.0600","0.0797","0.0072","0.2115"
"","1.0800","0.0813","0.0072","0.2159"
"","1.1000","0.0828","0.0074","0.2199"
"","1.1200","0.0844","0.0075","0.2240"
"","1.1400","0.0861","0.0076","0.2285"
"","1.1600","0.0879","0.0077","0.2332"
"","1.1800","0.0896","0.0077","0.2378"
"","1.2000","0.0912","0.0078","0.2421"
"","1.2200","0.0929","0.0079","0.2465"
"","1.2400","0.0946","0.0080","0.2510"
"","1.2600","0.0963","0.0081","0.2555"
"","1.2800","0.0979","0.0081","0.2597"
"","1.3000","0.0993","0.0081","0.2636"
"","1.3200","0.1008","0.0082","0.2675"
"","1.3400","0.1025","0.0083","0.2719"
"","1.3600","0.1042","0.0082","0.2765"
"","1.3800","0.1059","0.0083","0.2808"
"","1.4000","0.1074","0.0084","0.2849"
"","1.4200","0.1090","0.0088","0.2891"
"","1.4400","0.1107","0.0088","0.2936"
"","1.4600","0.1125","0.0090","0.2985"
"","1.4800","0.1143","0.0090","0.3032"
"","1.5000","0.1160","0.0091","0.3077"
"","1.5200","0.1178","0.0091","0.3123"
"","1.5400","0.1196","0.0091","0.3171"
"","1.5600","0.1214","0.0091","0.3219"
"","1.5800","0.1231","0.0092","0.3264"
"","1.6000","0.1247","0.0093","0.3306"
"","1.6200","0.1263","0.0093","0.3349"
"","1.6400","0.1280","0.0094","0.3395"
"","1.6600","0.1298","0.0094","0.3442"
"","1.6800","0.1315","0.0095","0.3485"
"","1.7000","0.1330","0.0097","0.3527"
"","1.7200","0.1346","0.0097","0.3569"
"","1.7400","0.1363","0.0098","0.3615"
"","1.7600","0.1381","0.0099","0.3662"
"","1.7800","0.1399","0.0100","0.3708"
"","1.8000","0.1415","0.0101","0.3751"
"","1.8200","0.1431","0.0101","0.3793"
"","1.8400","0.1447","0.0103","0.3835"
"","1.8600","0.1462","0.0103","0.3876"
"","1.8800","0.1477","0.0104","0.3916"
"","1.9000","0.1492","0.0104","0.3955"
"","1.9200","0.1507","0.0104","0.3995"
"","1.9400","0.1523","0.0104","0.4038"
"","1.9600","0.1540","0.0105","0.4082"
"","1.9800","0.1557","0.0105","0.4126"
"","2.0000","0.1572","0.0109","0.4168"
"","2.0200","0.1588","0.0113","0.4210"
"","2.0400","0.1605","0.0113","0.4255"
"","2.0600","0.1623","0.0111","0.4302"
"","2.0800","0.1641","0.0111","0.4350"
"","2.1000","0.1659","0.0112","0.4396"
"","2.1200","0.1676","0.0114","0.4441"
"","2.1400","0.1693","0.0115","0.4488"
"","2.1600","0.1711","0.0116","0.4535"
"","2.1800","0.1729","0.0116","0.4581"
"","2.2000","0.1745","0.0117","0.4625"
"","2.2200","0.1761","0.0116","0.4668"
"","2.2400","0.1778","0.0118","0.4711"
"","2.2600","0.1795","0.0120","0.4756"
