结果表格 1
,压缩位移(力 120 N),压缩位移(力 240 N),压缩位移(力 360 N),压缩位移(力 900 N),压缩位移(力 1300 N),压缩位移(力 1900 N),标识
,(mm),(mm),(mm),(mm),(mm),(mm),
"平均值","2.44","5.29","8.01","14.36","16.88","19.67",""
"标准偏差","-----","-----","-----","-----","-----","-----",""
"变异系数％","-----","-----","-----","-----","-----","-----",""

结果表格 2


1,时间,位移,力,压缩应变
,(s),(mm),(kN),(%)
"","0.0000","0.0000","0.0043","0.0000"
"","0.0200","0.0000","0.0043","0.0000"
"","0.0400","0.0000","0.0042","0.0001"
"","0.0600","0.0001","0.0042","0.0004"
"","0.0800","0.0003","0.0044","0.0010"
"","0.1000","0.0007","0.0044","0.0020"
"","0.1200","0.0014","0.0044","0.0039"
"","0.1400","0.0026","0.0042","0.0071"
"","0.1600","0.0034","0.0042","0.0092"
"","0.1800","0.0039","0.0043","0.0104"
"","0.2000","0.0046","0.0042","0.0123"
"","0.2200","0.0061","0.0042","0.0162"
"","0.2400","0.0083","0.0045","0.0221"
"","0.2600","0.0108","0.0046","0.0288"
"","0.2800","0.0134","0.0046","0.0356"
"","0.3000","0.0157","0.0046","0.0416"
"","0.3200","0.0175","0.0047","0.0465"
"","0.3400","0.0190","0.0048","0.0505"
"","0.3600","0.0205","0.0048","0.0543"
"","0.3800","0.0221","0.0049","0.0586"
"","0.4000","0.0238","0.0049","0.0632"
"","0.4200","0.0255","0.0049","0.0677"
"","0.4400","0.0272","0.0050","0.0720"
"","0.4600","0.0288","0.0050","0.0764"
"","0.4800","0.0306","0.0051","0.0811"
"","0.5000","0.0325","0.0052","0.0860"
"","0.5200","0.0342","0.0054","0.0906"
"","0.5400","0.0358","0.0054","0.0949"
"","0.5600","0.0375","0.0054","0.0993"
"","0.5800","0.0392","0.0054","0.1038"
"","0.6000","0.0410","0.0054","0.1086"
"","0.6200","0.0428","0.0055","0.1133"
"","0.6400","0.0445","0.0055","0.1178"
"","0.6600","0.0461","0.0055","0.1222"
"","0.6800","0.0478","0.0057","0.1266"
"","0.7000","0.0495","0.0057","0.1312"
"","0.7200","0.0513","0.0058","0.1357"
"","0.7400","0.0529","0.0059","0.1402"
"","0.7600","0.0546","0.0059","0.1446"
"","0.7800","0.0563","0.0059","0.1492"
"","0.8000","0.0581","0.0060","0.1537"
"","0.8200","0.0597","0.0061","0.1581"
"","0.8400","0.0613","0.0062","0.1622"
"","0.8600","0.0627","0.0063","0.1661"
"","0.8800","0.0643","0.0064","0.1701"
"","0.9000","0.0659","0.0064","0.1744"
"","0.9200","0.0676","0.0063","0.1789"
"","0.9400","0.0692","0.0063","0.1833"
"","0.9600","0.0708","0.0064","0.1875"
"","0.9800","0.0724","0.0064","0.1918"
"","1.0000","0.0742","0.0065","0.1964"
"","1.0200","0.0760","0.0066","0.2012"
"","1.0400","0.0778","0.0067","0.2060"
"","1.0600","0.0795","0.0069","0.2103"
"","1.0800","0.0811","0.0070","0.2146"
"","1.1000","0.0828","0.0068","0.2190"
"","1.1200","0.0845","0.0068","0.2237"
"","1.1400","0.0862","0.0069","0.2282"
"","1.1600","0.0878","0.0071","0.2324"
"","1.1800","0.0894","0.0072","0.2366"
"","1.2000","0.0911","0.0072","0.2412"
"","1.2200","0.0930","0.0071","0.2461"
"","1.2400","0.0947","0.0072","0.2508"
"","1.2600","0.0964","0.0073","0.2551"
"","1.2800","0.0980","0.0074","0.2593"
"","1.3000","0.0997","0.0074","0.2639"
"","1.3200","0.1016","0.0074","0.2688"
"","1.3400","0.1033","0.0078","0.2735"
"","1.3600","0.1049","0.0079","0.2775"
"","1.3800","0.1063","0.0079","0.2814"
"","1.4000","0.1079","0.0079","0.2856"
"","1.4200","0.1096","0.0078","0.2901"
"","1.4400","0.1113","0.0079","0.2946"
"","1.4600","0.1128","0.0081","0.2985"
