结果表格 1
,压缩位移(力 50 N),压缩位移(力 70 N),压缩位移(力 100 N),压缩位移(力 120 N),标识
,(mm),(mm),(mm),(mm),
"平均值","3.04","4.57","7.07","8.94",""
"标准偏差","-----","-----","-----","-----",""
"变异系数％","-----","-----","-----","-----",""

结果表格 2


1,时间,位移,力,压缩应变
,(s),(mm),(kN),(%)
"","0.0000","0.0380","0.0040","-0.0003"
"","0.0200","0.0379","0.0039","-0.0003"
"","0.0400","0.0380","0.0041","-0.0002"
"","0.0600","0.0381","0.0042","0.0000"
"","0.0800","0.0383","0.0041","0.0007"
"","0.1000","0.0388","0.0043","0.0020"
"","0.1200","0.0399","0.0043","0.0049"
"","0.1400","0.0407","0.0042","0.0071"
"","0.1600","0.0411","0.0041","0.0081"
"","0.1800","0.0417","0.0043","0.0095"
"","0.2000","0.0429","0.0042","0.0128"
"","0.2200","0.0450","0.0041","0.0184"
"","0.2400","0.0477","0.0041","0.0256"
"","0.2600","0.0506","0.0040","0.0333"
"","0.2800","0.0533","0.0039","0.0404"
"","0.3000","0.0555","0.0040","0.0461"
"","0.3200","0.0572","0.0043","0.0507"
"","0.3400","0.0588","0.0043","0.0549"
"","0.3600","0.0603","0.0042","0.0588"
"","0.3800","0.0617","0.0042","0.0627"
"","0.4000","0.0631","0.0041","0.0664"
"","0.4200","0.0646","0.0042","0.0703"
"","0.4400","0.0663","0.0045","0.0747"
"","0.4600","0.0680","0.0045","0.0794"
"","0.4800","0.0697","0.0045","0.0838"
"","0.5000","0.0713","0.0044","0.0879"
"","0.5200","0.0728","0.0043","0.0919"
"","0.5400","0.0744","0.0044","0.0962"
"","0.5600","0.0761","0.0046","0.1008"
"","0.5800","0.0779","0.0046","0.1055"
"","0.6000","0.0796","0.0046","0.1100"
"","0.6200","0.0812","0.0047","0.1144"
"","0.6400","0.0830","0.0048","0.1189"
"","0.6600","0.0848","0.0047","0.1237"
"","0.6800","0.0866","0.0047","0.1285"
"","0.7000","0.0883","0.0049","0.1332"
"","0.7200","0.0900","0.0048","0.1376"
"","0.7400","0.0916","0.0046","0.1419"
"","0.7600","0.0933","0.0047","0.1463"
"","0.7800","0.0950","0.0049","0.1508"
"","0.8000","0.0966","0.0048","0.1551"
"","0.8200","0.0982","0.0047","0.1594"
"","0.8400","0.0998","0.0048","0.1636"
"","0.8600","0.1015","0.0049","0.1681"
"","0.8800","0.1033","0.0050","0.1728"
"","0.9000","0.1051","0.0050","0.1774"
"","0.9200","0.1067","0.0051","0.1818"
"","0.9400","0.1083","0.0051","0.1861"
"","0.9600","0.1100","0.0051","0.1904"
"","0.9800","0.1117","0.0050","0.1949"
"","1.0000","0.1133","0.0050","0.1993"
"","1.0200","0.1149","0.0051","0.2034"
"","1.0400","0.1163","0.0052","0.2073"
"","1.0600","0.1179","0.0052","0.2114"
"","1.0800","0.1196","0.0053","0.2159"
"","1.1000","0.1214","0.0053","0.2207"
"","1.1200","0.1231","0.0053","0.2253"
"","1.1400","0.1247","0.0053","0.2295"
"","1.1600","0.1263","0.0054","0.2338"
"","1.1800","0.1281","0.0054","0.2385"
"","1.2000","0.1300","0.0054","0.2434"
"","1.2200","0.1317","0.0056","0.2480"
"","1.2400","0.1334","0.0056","0.2524"
"","1.2600","0.1350","0.0056","0.2568"
"","1.2800","0.1369","0.0057","0.2616"
"","1.3000","0.1387","0.0057","0.2665"
"","1.3200","0.1404","0.0057","0.2710"
"","1.3400","0.1419","0.0055","0.2750"
"","1.3600","0.1434","0.0056","0.2790"
"","1.3800","0.1451","0.0058","0.2836"
"","1.4000","0.1469","0.0058","0.2884"
"","1.4200","0.1486","0.0058","0.2928"
"","1.4400","0.1501","0.0057","0.2968"
"","1.4600","0.1517","0.0057","0.3009"
"","1.4800","0.1534","0.0058","0.3055"
"","1.5000","0.1553","0.0057","0.3104"
"","1.5200","0.1570","0.0058","0.3148"
"","1.5400","0.1584","0.0059","0.3188"
"","1.5600","0.1599","0.0060","0.3227"
"","1.5800","0.1615","0.0060","0.3270"
"","1.6000","0.1632","0.0060","0.3315"
"","1.6200","0.1648","0.0059","0.3357"
"","1.6400","0.1663","0.0059","0.3395"
"","1.6600","0.1677","0.0060","0.3433"
"","1.6800","0.1694","0.0060","0.3477"
"","1.7000","0.1712","0.0059","0.3527"
"","1.7200","0.1731","0.0060","0.3575"
"","1.7400","0.1747","0.0060","0.3618"
"","1.7600","0.1763","0.0060","0.3660"
"","1.7800","0.1780","0.0062","0.3706"
"","1.8000","0.1799","0.0062","0.3757"
"","1.8200","0.1817","0.0063","0.3805"
"","1.8400","0.1833","0.0063","0.3847"
"","1.8600","0.1849","0.0066","0.3887"
"","1.8800","0.1865","0.0066","0.3932"
"","1.9000","0.1884","0.0065","0.3980"
"","1.9200","0.1901","0.0065","0.4026"
"","1.9400","0.1917","0.0065","0.4068"
"","1.9600","0.1932","0.0065","0.4108"
"","1.9800","0.1949","0.0064","0.4152"
"","2.0000","0.1967","0.0064","0.4201"
"","2.0200","0.1985","0.0064","0.4248"
"","2.0400","0.2001","0.0065","0.4290"
"","2.0600","0.2016","0.0067","0.4331"
"","2.0800","0.2033","0.0068","0.4375"
"","2.1000","0.2051","0.0067","0.4423"
"","2.1200","0.2068","0.0065","0.4469"
"","2.1400","0.2084","0.0066","0.4510"
"","2.1600","0.2098","0.0069","0.4549"
"","2.1800","0.2114","0.0069","0.4591"
"","2.2000","0.2131","0.0068","0.4636"
"","2.2200","0.2149","0.0069","0.4682"
"","2.2400","0.2165","0.0067","0.4725"
"","2.2600","0.2180","0.0067","0.4765"
"","2.2800","0.2196","0.0068","0.4807"
"","2.3000","0.2213","0.0069","0.4853"
"","2.3200","0.2231","0.0070","0.4901"
"","2.3400","0.2249","0.0069","0.4947"
"","2.3600","0.2266","0.0069","0.4992"
"","2.3800","0.2283","0.0071","0.5038"
"","2.4000","0.2301","0.0070","0.5087"
"","2.4200","0.2319","0.0069","0.5134"
"","2.4400","0.2336","0.0071","0.5179"
"","2.4600","0.2352","0.0071","0.5222"
"","2.4800","0.2368","0.0071","0.5264"
"","2.5000","0.2385","0.0071","0.5308"
"","2.5200","0.2402","0.0074","0.5354"
"","2.5400","0.2419","0.0074","0.5398"
"","2.5600","0.2435","0.0074","0.5440"
"","2.5800","0.2451","0.0074","0.5482"
"","2.6000","0.2468","0.0074","0.5527"
"","2.6200","0.2486","0.0075","0.5575"
"","2.6400","0.2503","0.0075","0.5622"
"","2.6600","0.2520","0.0075","0.5665"
"","2.6800","0.2535","0.0074","0.5706"
"","2.7000","0.2551","0.0073","0.5747"
"","2.7200","0.2567","0.0076","0.5790"
"","2.7400","0.2583","0.0076","0.5833"
"","2.7600","0.2598","0.0075","0.5873"
"","2.7800","0.2613","0.0075","0.5912"
"","2.8000","0.2628","0.0075","0.5952"
"","2.8200","0.2645","0.0075","0.5997"
"","2.8400","0.2663","0.0075","0.6044"
"","2.8600","0.2680","0.0076","0.6090"
"","2.8800","0.2696","0.0076","0.6132"
"","2.9000","0.2712","0.0075","0.6174"
"","2.9200","0.2729","0.0078","0.6220"
"","2.9400","0.2748","0.0078","0.6269"
"","2.9600","0.2766","0.0077","0.6317"
"","2.9800","0.2782","0.0079","0.6360"
"","3.0000","0.2798","0.0077","0.6402"
"","3.0200","0.2815","0.0078","0.6447"
"","3.0400","0.2834","0.0078","0.6496"
"","3.0600","0.2851","0.0078","0.6543"
"","3.0800","0.2867","0.0078","0.6584"
"","3.1000","0.2882","0.0080","0.6624"
"","3.1200","0.2898","0.0080","0.6668"
"","3.1400","0.2916","0.0080","0.6715"
"","3.1600","0.2934","0.0080","0.6761"
"","3.1800","0.2950","0.0083","0.6804"
"","3.2000","0.2966","0.0082","0.6846"
"","3.2200","0.2983","0.0079","0.6892"
"","3.2400","0.3002","0.0078","0.6941"
"","3.2600","0.3019","0.0079","0.6987"
"","3.2800","0.3034","0.0080","0.7028"
"","3.3000","0.3049","0.0081","0.7067"
"","3.3200","0.3065","0.0082","0.7109"
"","3.3400","0.3082","0.0082","0.7155"
"","3.3600","0.3099","0.0082","0.7199"
"","3.3800","0.3114","0.0082","0.7238"
"","3.4000","0.3128","0.0082","0.7277"
"","3.4200","0.3144","0.0083","0.7319"
"","3.4400","0.3163","0.0083","0.7368"
"","3.4600","0.3181","0.0085","0.7417"
"","3.4800","0.3199","0.0086","0.7463"
"","3.5000","0.3215","0.0086","0.7506"
"","3.5200","0.3232","0.0087","0.7552"
"","3.5400","0.3251","0.0086","0.7601"
"","3.5600","0.3269","0.0085","0.7648"
"","3.5800","0.3285","0.0084","0.7691"
"","3.6000","0.3300","0.0084","0.7732"
